t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
9,0,0,2.2,0,47.1,54
13,0,0,2.2,0,46.6,8
13,0,0,2.2,0,46.2,178
13,0,0,0,0,46.6,5
13,0,0,0,0,47.3,14
13,0,0,0,0,46.7,56
13,0,0,0,0,47.1,9
13,0,0,0,0,47.2,61
13,0,0,0,0,47,14
13,0,0,0,0,47.2,60
13,0,0,0,0,46.5,14
13,0,0,0,0,46.9,62
13,0,0,0,0,46.8,16
13,0,0,0,0,47.1,63
13,0,0,0,0,47.1,16
13,0,0,0,0,46.9,63
13,0,0,0,0,46.8,17
13,0,0,0,0,47.1,64
13,0,0,0,0,47.2,17
13,0,0,0,0,46.9,65
13,0,0,0,0,46.5,0
13,0,0,0,0,46.6,66
13,0,0,0,0,46.5,1
13,0,0,0,0,47.1,67
13,0,1800,0,0,47.2,3
13,0,1800,0,0,47.1,204
13,0,1800,0,0,46.9,13
14,0,1800,0,0,46.7,2
14,0,1800,0,0,46.9,69
14,0,1800,0,0,46.6,4
14,0,1800,0,0,47.3,53
14,0,1800,0,0,46.7,6
14,0,1800,0,0,46.8,53
14,0,1800,0,0,47.1,6
14,0,1800,0,0,47,53
14,0,1800,0,546,46.9,7
14,0,1800,0,1264,47.1,54
14,0,1800,0,1346,46.9,7
14,0,1800,0,1435,47.1,55
14,0,1800,0,1468,46.9,8
14,0,1800,0,1505,47.5,57
14,0,1800,0,1523,46.9,10
14,0,1800,0,1544,47,57
14,0,1800,0,1555,46.6,10
14,0,1800,0,1568,47.1,57
14,0,1800,0,1592,46.7,11
14,0,1800,0,1601,46.8,58
14,0,1800,0,1605,47,11
29,0,1800,0,1597,47.2,59
92,0,4100,0,1977,47.1,12
356,0,4100,0,4577,46.8,197
432,0,4100,0,4945,47.3,5
509,0,4100,0,5121,47.1,13
618,0,4100,0,5416,46.8,62
698,0,4100,0,5555,46.9,15
808,0,4100,0,5682,47,62
887,0,4100,0,5835,46.6,16
1011,0,4100,0,5966,46.8,63
1089,0,4100,0,5974,46.9,17
1211,0,4100,0,6131,46.7,64
1288,0,4100,0,6183,47.4,17
1412,0,4100,0,6194,47.1,65
1488,0,4100,0,6234,47.4,0
1612,0,4100,0,6291,46.4,66
1690,0,4100,0,6323,46.8,1
1814,0,4100,0,6370,47.2,68
1893,0,4100,0,6462,47.3,3
2017,0,4100,0,6501,47.4,68
2095,0,4100,0,6459,47,3
2220,0,4100,0,6490,47.1,69
2298,0,4100,0,6507,47.1,4
2422,0,4100,0,6531,47,70
2500,0,4100,0,6609,47.1,5
2610,0,4100,0,6563,46.7,53
2702,0,4100,0,6574,47.3,7
2809,0,4100,0,6589,47.1,53
2887,0,4100,0,6660,46.8,7
3011,0,4100,0,6607,46.9,54
3090,0,4100,0,6615,47.1,7
3229,0,4100,0,6690,47.4,56
3292,0,4100,0,6632,47,9
3416,0,4100,0,6703,47.3,56
3493,0,4100,0,6706,46.5,9
3617,0,4100,0,6648,46.5,57
3694,0,4100,0,6715,47,10
3817,0,4100,0,6654,46.7,59
3909,0,4100,0,6654,46.4,12
4018,0.1,4100,0,6724,46.3,59
4096,0.6,4100,0,6657,45.7,12
4220,0.9,4100,0,6723,45.1,68
4297,1.6,4100,0,6724,44.4,3
4421,2.2,4100,0,6726,44.3,69
4498,2.5,4100,0,6727,44,4
4620,2.7,4100,0,6665,43.5,70
4698,3.4,4100,0,6666,43.1,5
4821,3.4,4100,0,6732,43,71
4898,4.1,4100,0,6732,41.8,6
5023,4.5,4100,0,6732,41.5,72
5101,5.4,4100,0,6732,40.4,7
5226,5.7,4100,0,6665,41,73
5303,6.9,4100,0,6662,39.7,8
5426,7.3,4100,0,6724,39.3,74
5502,8.8,4100,0,6721,38.1,10
5624,9,4100,0,6718,36.5,75
5701,10.9,3918,4.6,6712,35.4,11
5838,11.5,3873,9,6656,34.5,90
5916,13.3,3822,12.7,6558,32.7,7
6041,13.7,3821,12.9,6561,33,74
6117,14.5,3912,4.6,6465,32,10
6241,14.9,3928,3.9,6441,31.8,74
6319,15.3,3956,1.8,6497,31.7,10
6429,15.4,3964,1.9,6490,30.9,76
6509,15.4,3995,-0.2,6428,30.6,11
6634,15.6,3995,0.7,6436,31.3,77
6712,15.1,4030,-1.9,6507,32.1,13
6838,15,4054,-3.1,6528,31.8,79
6916,14.4,4071,-3.6,6482,32.4,14
7040,14.1,4100,-5.3,6573,32.7,80
7117,13,4100,-6.4,6528,33.8,16
7242,12.8,4100,-7.3,6554,34.1,81
7320,11.8,4100,-6.5,6568,34.8,17
7430,11.7,4100,-5.5,6587,35,70
