t_ms,R,P
0,7832,4000
0,8012,5000
201,8795,5000
279,8873,5000
358,9014,5000
467,9177,5000
546,9357,5000
671,9383,5000
747,9445,5000
871,9529,5000
948,9661,5000
1073,9618,5000
1151,9652,5000
1260,9683,5000
1339,9705,5000
1464,9740,5000
1542,9756,5000
1666,9874,5000
1744,9881,5000
1868,9900,5000
1947,9907,5000
2056,9823,5000
2134,9826,5000
