t_ms,H,T,P,D,RPM,RAW,age,RS
66,14.8,15.0,4058,-2.0,6626,34.9,84,6674
137,14.9,15.0,4038,0.6,6628,34.4,1,6643
261,15.0,15.0,4030,1.9,6693,34.8,85,6628
339,14.8,15.0,4043,-0.1,6628,34.6,2,6652
463,15.0,15.0,4043,-0.2,6693,34.8,86,6654
541,14.9,15.0,4045,-0.6,6691,34.9,3,6658
651,15.0,15.0,4042,-0.2,6626,35.2,80,6652
728,15.2,15.0,4029,1.2,6629,35.1,15,6636
870,14.5,15.0,4046,-1.1,6628,35.1,87,6663
949,15.0,15.0,4031,0.7,6628,34.2,4,6643
1059,15.4,15.0,4024,2.1,6625,34.9,88,6626
1137,15.2,15.0,4037,-0.1,6622,34.3,5,6651
1261,15.4,15.0,4033,0.6,6684,34.0,82,6643
1337,15.5,15.0,4028,1.6,6683,34.3,17,6631
1463,15.4,15.0,4032,0.6,6680,33.9,83,6644
1540,15.4,15.0,4030,0.3,6678,34.1,0,6647
1664,15.6,15.0,4036,0.1,6678,33.8,90,6649
1757,15.5,15.0,4040,-0.4,6678,34.3,7,6655
1863,15.4,15.0,4043,-1.0,6616,34.1,73,6663
1941,15.6,15.0,4030,0.7,6680,34.0,8,6638
2065,15.5,15.0,4031,1.0,6615,34.5,74,6638
2142,15.5,15.0,4038,-0.4,6615,34.2,9,6656
2266,15.3,15.0,4049,-1.2,6616,34.3,75,6665
2343,15.1,15.0,4053,-1.9,6618,34.5,10,6673
2466,15.1,15.0,4054,-1.8,6687,34.3,76,6673
2543,15.6,15.0,4023,2.5,6621,34.0,11,6621
2669,15.5,15.0,4015,3.2,6680,33.9,77,6612
2746,15.2,15.0,4042,-0.1,6677,34.5,12,6652
2869,15.2,15.0,4057,-2.6,6678,34.0,78,6682
2946,15.6,15.0,4027,1.1,6681,33.9,13,6632
3070,15.3,15.0,4034,0.6,6616,35.0,71,6643
3132,14.9,15.0,4059,-2.8,6619,34.8,7,6685
3257,15.1,15.0,4059,-2.8,6626,34.5,79,6684
3335,14.9,15.0,4042,-0.7,6631,34.6,14,6659
3458,15.0,15.0,4037,0.4,6631,34.8,80,6646
3536,15.0,15.0,4035,0.3,6628,35.1,15,6646
3659,14.8,15.0,4038,-0.1,6691,34.8,81,6652
3738,14.8,15.0,4042,-0.5,6625,34.7,16,6656
3860,14.7,15.0,4042,-0.8,6688,35.0,75,6660
3939,14.8,15.0,4041,-0.4,6691,34.9,10,6655
4064,14.5,15.0,4045,-1.1,6693,34.5,83,6664
4140,14.7,15.0,4032,0.6,6696,34.9,0,6643
4264,14.5,15.0,4036,0.3,6623,35.3,84,6646
4342,14.4,15.0,4045,-1.4,6623,35.3,1,6668
4465,14.3,15.0,4053,-1.5,6626,35.2,85,6674
4544,14.6,15.0,4029,1.1,6629,35.3,2,6637
4669,14.5,15.0,4024,1.6,6691,35.2,86,6631
4747,14.9,15.0,4024,1.9,6623,34.9,3,6628
4871,15.0,15.0,4016,2.8,6680,34.5,87,6617
4949,15.0,15.0,4036,0.0,6677,34.7,4,6650
5056,15.0,15.0,4033,0.1,6674,34.6,88,6649
5148,15.7,15.0,4016,2.6,6672,34.4,5,6614
5257,15.4,15.0,4010,3.2,6605,34.2,89,6612
5349,15.6,15.0,4031,0.5,6666,34.2,6,6644
5456,15.6,15.0,4030,0.6,6599,34.4,89,6639
5550,15.8,15.0,4032,0.2,6663,34.3,7,6642
5658,15.8,15.0,4028,0.8,6600,33.5,90,6635
5751,15.5,15.0,4041,-0.3,6599,33.9,7,6654
5859,15.9,15.0,4039,-0.3,6600,33.4,73,6648
5937,16.0,15.0,4028,1.1,6600,34.2,8,6630
6061,15.8,15.0,4030,0.8,6602,34.3,74,6634
6140,15.9,15.0,4041,-0.5,6602,33.8,9,6649
6265,16.0,15.0,4032,0.4,6668,33.6,75,6637
6342,15.6,15.0,4043,-0.6,6603,34.2,10,6652
6464,15.8,15.0,4047,-1.5,6672,33.7,76,6662
6543,16.0,15.0,4027,1.6,6672,34.1,11,6623
6670,15.7,15.0,4034,0.3,6672,34.0,77,6642
6747,16.0,15.0,4028,0.9,6674,34.2,12,6631
6855,15.6,15.0,4044,-0.9,6609,33.9,70,6655
6933,15.6,15.0,4046,-0.9,6609,34.2,5,6661
7058,15.6,15.0,4049,-1.1,6613,34.1,78,6663
7136,15.9,15.0,4027,1.2,6680,33.8,13,6628
7261,15.8,15.0,4024,1.7,6613,34.2,79,6624
7340,15.8,15.0,4035,0.1,6610,33.9,14,6641
7462,15.8,15.0,4040,-0.2,6677,33.6,73,6645
7540,15.8,15.0,4040,-0.2,6612,34.2,8,6646
7663,16.3,15.0,4018,2.0,6677,33.8,81,6615
7741,15.8,15.0,4039,-0.3,6609,34.3,16,6647
7864,15.5,15.0,4060,-2.9,6677,33.4,82,6684
7942,16.0,15.0,4029,0.8,6680,33.4,17,6632
8067,15.9,15.0,4025,1.2,6675,33.8,83,6628
8143,16.1,15.0,4034,0.5,6675,33.3,0,6635
8268,16.4,15.0,4014,2.0,6609,33.3,84,6614
8346,16.0,15.0,4023,0.2,6671,33.3,0,6639
8470,16.3,15.0,4034,-0.3,6606,33.4,84,6642
8549,16.3,15.0,4029,0.3,6671,33.9,1,6636
8657,16.0,15.0,4040,-1.0,6606,33.4,85,6653
8736,16.4,15.0,4028,0.5,6607,32.8,2,6632
8861,16.8,15.0,4011,2.7,6606,33.5,86,6602
8939,16.2,15.0,4037,-0.9,6602,33.2,3,6650
9064,16.5,15.0,4042,-1.2,6668,32.9,87,6651
9142,16.2,15.0,4040,-1.0,6603,33.6,3,6651
9266,16.1,15.0,4046,-1.8,6672,32.8,87,6661
9342,16.4,15.0,4024,1.1,6607,33.6,4,6624
9464,16.4,15.0,4021,1.5,6669,33.0,88,6619
9543,16.7,15.0,4015,2.1,6666,33.2,5,6610
9667,16.8,15.0,4012,2.2,6662,32.8,89,6608
9745,16.9,15.0,4019,1.1,6659,32.8,6,6619
9868,16.9,15.0,4025,0.4,6659,33.5,90,6628
9945,16.8,15.0,4036,-1.3,6660,32.6,7,6649
10052,16.9,15.0,4034,-0.7,6597,33.1,83,6641
10144,17.1,15.0,4023,1.1,6597,32.4,0,6618
10252,16.9,15.0,4018,1.4,6594,32.5,66,6616
10330,17.1,15.0,4017,1.3,6594,33.0,1,6615
10457,17.1,15.0,4020,0.9,6590,32.0,74,6619
10536,17.4,15.0,4013,1.8,6589,32.7,9,6606
10662,17.2,15.0,4025,0.4,6587,32.3,75,6624
10739,17.8,15.0,4007,2.3,6586,32.1,10,6597
10864,17.5,15.0,4014,1.7,6584,32.6,75,6606
10942,17.6,15.0,4022,0.4,6583,32.4,11,6620
11066,17.4,15.0,4040,-1.6,6586,32.3,76,6646
11142,17.6,15.0,4027,-0.3,6587,32.0,11,6628
11266,17.5,15.0,4022,0.6,6653,32.6,77,6618
11342,17.3,15.0,4035,-1.0,6590,32.3,12,6639
11451,17.5,15.0,4028,-0.4,6656,32.6,71,6630
11543,17.4,15.0,4029,-0.0,6657,32.2,6,6626
11667,17.2,15.0,4033,-0.8,6657,32.3,78,6636
11744,17.2,15.0,4036,-1.1,6596,32.5,14,6641
11852,17.2,15.0,4033,-0.7,6599,32.6,66,6635
11945,17.4,15.0,4022,0.8,6599,32.3,1,6616
12068,17.3,15.0,4015,1.4,6660,32.3,80,6609
12145,17.2,15.0,4028,-0.4,6660,32.0,15,6631
12270,17.3,15.0,4027,-0.4,6662,32.6,81,6631
12348,17.0,15.0,4036,-1.5,6662,32.6,16,6646
12471,17.1,15.0,4032,-1.1,6599,32.6,82,6640
12550,16.9,15.0,4032,-0.9,6666,32.9,17,6639
12657,16.9,15.0,4034,-0.9,6603,32.7,83,6640
12751,16.9,15.0,4026,-0.1,6605,32.8,0,6630
12858,16.9,15.0,4028,0.1,6666,33.7,77,6627
12937,16.8,15.0,4029,-0.3,6603,33.1,12,6633
13060,16.8,15.0,4033,-0.6,6602,32.8,84,6636
13139,16.8,15.0,4023,0.4,6602,32.9,1,6623
13263,17.1,15.0,4016,1.6,6663,32.5,85,6607
13342,16.8,15.0,4027,-0.1,6597,32.9,2,6629
13467,16.8,15.0,4035,-1.2,6662,33.1,86,6643
13544,16.7,15.0,4044,-2.4,6599,33.1,3,6657
13671,16.7,15.0,4037,-1.5,6668,32.9,87,6647
13750,16.8,15.0,4016,1.3,6668,33.4,4,6612
13871,16.5,15.0,4018,1.0,6666,33.2,88,6617
13949,16.5,15.0,4029,-0.4,6666,33.1,5,6635
14057,16.6,15.0,4032,-0.7,6602,33.4,81,6637
14135,16.8,15.0,4019,0.7,6665,32.6,17,6619
14259,16.9,15.0,4008,2.0,6596,33.1,89,6602
14336,16.5,15.0,4032,-1.1,6657,32.8,6,6643
14460,16.7,15.0,4040,-2.0,6593,33.0,90,6651
14538,16.9,15.0,4025,0.1,6657,32.6,7,6625
14662,17.1,15.0,4005,2.6,6589,32.7,74,6593
14740,17.3,15.0,4005,2.3,6586,32.5,9,6595
14863,17.2,15.0,4012,1.5,6580,31.9,74,6605
14942,17.4,15.0,4019,0.6,6577,32.2,9,6614
