t_ms,H,T,P,D,RPM,RAW,age,RS
10454,12.3,15.0,4033,1.1,6638,30.6,78,6653
10532,12.1,15.0,4040,0.2,6635,30.5,14,6665
10657,12.3,15.0,4040,0.1,6699,30.9,79,6664
10733,12.2,15.0,4042,-0.3,6632,30.5,15,6668
10843,12.2,15.0,4040,0.0,6632,30.6,68,6665
10922,12.5,15.0,4033,0.9,6632,30.5,3,6654
11063,12.5,15.0,4017,1.1,6696,30.5,89,6652
11140,12.5,15.0,4022,0.5,6693,30.6,6,6659
11264,12.3,15.0,4027,-0.1,6628,31.2,90,6666
11343,12.3,15.0,4035,-1.3,6694,30.6,8,6678
11452,12.1,15.0,4049,-1.2,6632,30.8,73,6679
11546,11.7,15.0,4056,-1.8,6632,31.2,9,6689
11654,11.8,15.0,4057,-2.1,6638,31.0,75,6691
11731,11.1,15.0,4066,-2.8,6641,32.2,10,6705
11854,11.7,15.0,4043,-1.8,6712,30.9,76,6689
11933,10.8,15.0,4051,-2.3,6715,32.1,11,6703
