t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
9,16.9,3935,0.4,6451,29.6,76
12,16.6,3945,-0.6,6457,30.5,11
12,16.8,3948,-1.1,6466,31,77
12,15.5,0,-1.1,6396,32,12
12,15.2,0,-1.1,5812,32.8,201
13,13.8,0,-1.1,5707,38,6
13,8.2,0,-1.1,5491,40.3,17
13,6.2,0,-1.1,5315,42.6,76
13,0.9,0,-1.1,5127,45.5,11
13,1.7,0,-1.1,4950,46.1,77
13,0.7,0,-1.1,4764,46.9,12
13,0.5,0,-1.1,4571,46.9,60
13,0.3,0,-1.1,4442,47,13
13,0.3,0,-1.1,4248,47,61
13,0.3,0,-1.1,4168,47,14
13,0.2,0,-1.1,3991,46.5,62
13,0.3,0,-1.1,3879,47.1,15
13,0.7,0,-1.1,3698,46.4,63
13,0.3,0,-1.1,3560,47.2,16
13,0.1,0,-1.1,3400,47.3,64
13,0.3,3900,-1.1,3372,47,17
13,0.5,3900,-1.1,4642,46.7,201
13,0.3,3900,-1.1,4922,46.7,10
13,0.5,3900,-1.1,5057,47,17
13,0.3,3900,-1.1,5273,46.6,75
13,0.2,3900,-1.1,5395,47.2,10
13,0.3,3900,-1.1,5599,46.8,68
13,0.3,3900,-1.1,5633,46.7,3
13,0.8,3900,-1.1,5754,46.8,77
13,0.1,3900,-1.1,5873,46.9,12
13,0.4,3900,-1.1,5960,46.4,60
13,0.2,3900,-1.1,6009,46.9,13
13,0.3,3900,-1.1,6077,47,61
13,0.2,3900,-1.1,6114,47.1,15
13,0.3,3900,-1.1,6105,46.9,54
13,0.1,3900,-1.1,6133,46.7,8
13,0.5,3900,-1.1,6235,46.7,63
13,0.1,3900,-1.1,6255,47,17
13,0.3,3900,-1.1,6224,47,64
13,0.3,3900,-1.1,6301,47,0
13,0.3,3900,-1.1,6264,46.9,65
13,0.3,3900,-1.1,6338,46.7,1
13,0.5,3900,-1.1,6297,46.4,66
13,0.5,3900,-1.1,6368,46.6,2
28,0.5,3900,-1.1,6380,47,60
107,0.1,3850,-1.9,6321,47,13
370,0.3,3890,0.5,6334,46.3,205
448,0.3,3910,0.4,6402,47.1,1
527,0.2,3960,-1,6350,47.1,3
650,0.6,3990,2.3,6378,47,74
745,0.3,4040,-1.3,6464,47.3,9
854,0.1,4070,-4.2,6507,47,74
932,0.4,4088,2.2,6478,46.8,9
1056,0.2,4096,1.4,6584,46.2,68
1134,0.5,4085,2.3,6612,47,3
1243,0.4,4096,1.1,6581,47.2,63
1322,0.1,4100,-2.8,6666,47.4,16
1447,0.4,4100,0.2,6694,46.4,70
1524,0.8,4071,3.8,6708,46.4,5
1663,0.8,4091,1.3,6721,46.5,78
1742,1.8,4071,6.5,6732,45.2,13
1851,2,4041,8.4,6671,44.7,79
