t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
9,3.1,3983,-4.1,6576,44.1,75
13,2.8,4100,0,6586,44.8,10
13,2.4,4100,0,6685,44.9,76
13,2,0,0,6494,45.6,11
13,1.6,0,0,6006,45.5,204
13,1.3,0,0,5834,46.5,6
13,0.4,0,0,5620,47.3,2
13,0.1,0,0,5451,46.9,61
13,0.3,0,0,5303,46.9,14
13,0.3,0,0,5031,47.1,62
13,0.4,0,0,4942,46.9,15
13,0.3,0,0,4751,46.7,56
13,0.4,0,0,4570,46.8,9
13,0.2,0,0,4413,47,64
13,0.1,0,0,4255,47,18
13,0.3,0,0,4114,46.9,65
13,0.1,0,0,3957,46.8,0
13,0,0,0,3832,47.1,66
13,0.4,0,0,3723,46.9,1
13,0.5,0,0,3521,47.6,67
13,0.4,3900,0,3501,46.9,3
13,0.3,3900,0,4739,46.9,204
13,0.5,3900,0,4948,47,13
13,0.3,3900,0,5142,47.5,3
13,0.1,3900,0,5294,46.9,60
13,0.4,3900,0,5476,46.8,14
13,0.4,3900,0,5632,47.2,61
13,0.1,3900,0,5665,47.3,15
13,0.1,3900,0,5835,47,62
13,0.3,3900,0,5903,46.8,16
13,0.6,3900,0,5930,47.3,64
13,0.4,3900,0,5977,46.6,17
13,0.3,3900,0,6103,47.1,65
13,0.3,3900,0,6141,46.9,0
13,0.5,3900,0,6191,47.1,66
13,0.5,3900,0,6162,46.8,1
13,0.3,3900,0,6261,47,67
13,0.4,3900,0,6284,46.8,2
13,0.5,3900,0,6255,46.9,68
13,0.1,3900,0,6331,47,3
13,0.2,3900,0,6294,46.7,69
13,0.6,3900,0,6368,46.7,4
13,0.3,3900,0,6387,46.9,70
13,0.3,3900,0,6337,47,5
44,0.3,3900,0,6349,47.5,64
122,0.3,3840,-0.1,6410,47,17
385,0.1,3880,0,6418,46.9,208
479,0,3890,-0.1,6422,47.2,73
558,0.3,3940,0.1,6366,46.9,11
668,0.5,3970,0.8,6392,46.7,77
746,0.2,4020,-0.3,6476,46.6,12
869,0.6,4050,0.6,6517,46.7,78
947,0.7,4084,1.1,6483,46.2,13
1074,0.5,4088,0.8,6528,47,79
1153,0.3,4100,-0.7,6619,46.8,15
1278,0.1,4100,-1.5,6594,46.6,80
1355,0.6,4093,0.1,6616,46.7,16
1480,0.5,4090,0.6,6643,46.8,81
1559,0.5,4092,0.3,6657,46.6,17
1667,0.2,4100,-0.3,6744,47.1,82
1760,0.8,4081,1.3,6752,46,0
1869,0.8,4078,1.7,6696,46.3,83
1947,1.8,4045,4.5,6697,45.1,1
2073,2.1,4032,5.8,6756,45,85
2149,3.4,4002,7.8,6681,43.5,2
2272,3.8,3992,8.7,6726,42.7,86
2349,6.3,3955,12,6712,40.3,3
2473,6.9,3935,14.2,6616,39.8,87
2550,9.5,3885,16,6656,37.5,4
2677,10,3865,16.8,6548,36.3,88
2756,13.1,3830,17.8,6586,33.5,5
2881,13.6,3816,18.4,6479,33.4,88
2958,16.1,3810,16,6517,30.7,6
3067,16.4,3814,15.2,6483,31.1,89
3146,18,3837,10.3,6402,28.8,6
3271,18.3,3840,9.5,6384,29.1,90
3349,18.9,3871,4.9,6439,28,8
3475,19.3,3877,3.7,6376,28,73
3553,18.7,3914,-0.4,6440,28.2,9
3677,18.7,3928,-2,6453,28.9,75
3754,17.5,3971,-6,6404,30.1,10
3878,17.1,3990,-7.6,6435,30.2,76
3956,16,4003,-8,6516,31.3,11
4066,15.9,3998,-7.2,6547,32.1,77
4159,14.5,4013,-7.3,6564,33.5,12
4269,13.7,4031,-8.5,6591,33.6,78
4347,12.5,4046,-8.9,6550,34.7,13
4470,12,4047,-8.4,6643,36.5,79
4549,10.7,4064,-9,6593,36.2,14
4674,10.6,4052,-7.3,6683,37,80
4753,9.7,4050,-5.9,6694,37.8,15
4874,9.6,4043,-4.9,6650,37.6,80
4951,9.2,4033,-3.1,6721,38.5,15
5076,8.7,4037,-3.1,6663,39,81
5155,9.2,4015,-0.9,6665,39.1,16
5279,8.9,4010,0,6724,38.1,82
5355,10,3979,3.2,6715,37.3,16
5465,10.3,3955,5.3,6699,36.7,82
5559,11.8,3922,8.1,6684,34.6,17
5667,12.5,3892,10.5,6589,34.7,83
5746,14.7,3854,13,6629,32.6,0
5870,15.2,3835,14.1,6524,31.8,84
5949,16.6,3843,11.4,6561,30,1
6073,17.1,3840,11,6530,29.8,85
6151,18.9,3836,9.4,6448,27.9,2
6278,19.4,3825,10.1,6423,27.5,86
6355,20.8,3817,9.4,6472,26.5,3
6480,20.8,3821,8.8,6451,26.4,87
6557,20.8,3864,3,6381,26.3,4
6668,20.7,3884,1,6381,26.8,81
6744,19.8,3918,-3.2,6448,28.1,16
6867,19.2,3948,-6.8,6471,28.3,89
6975,17.5,3998,-10.5,6425,29.7,6
7069,17.3,4016,-11.2,6459,30.3,90
7163,15.8,4019,-9.7,6545,31.6,7
7273,15.5,4021,-9.6,6578,32.4,91
7365,14,4029,-8.8,6597,33.7,8
7473,13.5,4033,-8.6,6625,34,74
7550,12.5,4032,-7.1,6641,35,9
7674,12.1,4034,-6.9,6662,35.4,74
7755,11.2,4031,-5.5,6674,36.4,10
7877,10.8,4038,-5.9,6685,36.9,75
7955,10.6,4023,-3.7,6693,36.6,10
8080,10.5,4012,-2.3,6631,36.7,76
8158,10.7,3990,0.3,6628,35.8,11
8266,11,3974,2,6616,35.9,77
8359,12.5,3934,6.4,6607,34.4,12
8469,13.1,3904,9.5,6581,34,77
8547,14.5,3869,10.7,6558,32.4,13
8673,15.1,3864,10.5,6525,32,79
8750,16,3871,8.5,6507,31.2,14
8874,16.6,3872,7.7,6486,30.2,80
8952,17.3,3878,6.1,6537,29.5,15
9076,18,3867,6.5,6516,29.3,80
9155,18.5,3875,5,6443,27.9,16
9280,18.9,3869,5.2,6429,28.1,82
9357,19.4,3871,4.3,6423,27.8,17
9467,19.6,3875,3.6,6482,27.5,83
9559,19.1,3910,-0.2,6480,29,1
9667,18.6,3930,-2.7,6428,28.8,84
9760,17.3,3976,-7.3,6439,30.1,2
9869,17.1,3996,-8.8,6465,30.5,85
9948,16.1,4003,-8,6545,31.4,3
10073,15.8,4006,-8.1,6571,31.5,86
10150,14.7,4009,-7.1,6524,32.7,3
10274,14.5,4009,-6.8,6612,33.2,87
10353,13.2,4019,-6.5,6558,34.4,5
10477,12.8,4031,-7.4,6643,34.6,88
10557,11.6,4046,-7.8,6591,35.9,6
10667,11.5,4046,-7.6,6677,35.8,89
10760,10.6,4036,-5.4,6684,36.5,6
10869,10.7,4030,-4.6,6691,36.5,90
10948,11,3991,-0.1,6691,36,7
11071,11.3,3966,2.5,6615,35.7,74
11150,12.4,3926,6.2,6600,34.5,9
11272,13.2,3896,9.1,6573,33.8,74
11350,14.9,3864,10.9,6618,32.2,9
11471,15.7,3842,12.5,6520,31.6,74
11550,16.6,3853,10,6561,30.5,10
11675,16.8,3870,7.7,6535,29.8,76
11755,17.4,3894,4,6523,29.9,11
11880,17.8,3898,2.9,6514,28.8,76
11959,18.6,3881,4,6444,28.5,12
12070,18.9,3876,4.3,6436,28,78
12147,19.2,3879,3.5,6493,28.1,13
12271,19.1,3890,2.2,6489,28.3,79
12347,18.6,3921,-1,6426,28.2,14
12471,18.3,3942,-3.2,6437,29.3,80
12551,17.3,3973,-5.8,6511,30.1,15
12674,17.1,3984,-6.9,6535,30.8,81
12750,16.2,3992,-6.8,6489,31.2,16
12874,16,3989,-6.3,6573,31.7,82
12951,14.6,4008,-6.8,6523,33.1,17
13076,14.3,4015,-7.3,6544,33.5,83
13156,12.8,4036,-8.1,6560,34.7,0
13281,12.5,4043,-8.6,6583,35.4,84
13360,11.8,4038,-7,6597,35.1,1
13469,11.8,4025,-5.5,6680,35.3,85
13547,11,4019,-3.8,6623,36.1,2
13671,10.9,4016,-3.3,6694,36.4,85
13749,10.9,3999,-1.1,6697,36.4,2
13875,10.7,3997,-0.7,6694,36.3,86
13952,11.2,3975,1.5,6691,35.9,3
14076,11.2,3971,2.1,6615,36.1,87
14155,12.7,3933,6.3,6668,34.5,4
14278,12.8,3913,7.6,6580,34.3,88
14356,14.6,3875,9.9,6625,32.1,5
14480,15.1,3858,11.2,6527,31.8,89
14556,16.1,3864,9.2,6573,31,6
14667,16.3,3872,8.1,6550,30.4,89
14760,17,3890,4.9,6538,30.2,7
