t_ms,H,P,D
0,21.7,3346,2.2
126,21.6,3420,-7.6
202,21.2,3459,-4.2
280,19.5,3533,-10.5
405,19.4,3479,-1.5
483,18.3,3540,-8
608,18.3,3496,-0.7
685,17.8,3521,-3.7
811,17.7,3514,-2.6
889,17.9,3458,6.8
999,18,3500,-0.2
1093,18.1,3487,2
1200,18.5,3453,5.9
1279,19.9,3413,7.8
1404,20.5,3379,11.5
1482,21.4,3386,7.4
1608,21.8,3384,6.3
1684,22.7,3357,7.8
1807,22.9,3370,4.8
1885,23.7,3377,0.9
2011,23.7,3376,1.2
2089,23.9,3370,1.6
2198,23.5,3430,-7.2
2292,23.1,3418,-4.1
2400,22.9,3413,-2.6
2478,22.3,3464,-8.9
2602,22,3431,-2.7
2679,21.4,3486,-9.7
2801,20.7,3495,-8.9
2879,19.9,3525,-11.3
3003,19.7,3477,-2.8
3081,19.5,3495,-5.1
3207,19.4,3482,-2.6
3285,19.4,3474,-1.1
3394,19.5,3455,1.6
3472,19.7,3441,3.3
3611,19.7,3468,-1.3
3688,20.5,3385,9.8
3813,20.5,3435,1.6
3889,21.2,3380,8.3
3998,21.5,3369,8.9
4091,22,3393,3.3
4202,22.2,3390,3.3
4279,22.9,3343,8.5
4404,23.1,3404,-2.1
4482,22.6,3409,-1.5
4606,22.8,3388,1.5
4684,22.5,3428,-4.6
4808,22.5,3389,2.1
4886,22.2,3420,-2.1
5009,22.1,3426,-2.7
5086,21.4,3451,-4.9
5211,21.3,3455,-5
5289,20.5,3466,-4.2
5397,20.6,3429,1.7
5488,19.9,3491,-6.5
5611,19.8,3456,-0.5
5688,20,3431,3.2
5812,20.3,3424,3.3
5888,20.5,3410,4.9
6012,20.9,3404,4.7
6090,21,3439,-1.5
6198,21.2,3400,4.2
6290,21.9,3394,2
6400,21.7,3438,-3.9
6479,22.2,3392,2.1
6585,22,3438,-4.9
6693,22.2,3423,-3
6804,22.1,3409,-0.3
6883,22.1,3403,0.5
7009,21.6,3452,-6.2
7088,21.6,3416,-0.1
7197,21.6,3409,1
7275,21.3,3449,-4.6
7384,21.5,3409,1.3
7478,21,3434,-1.1
7601,21,3433,-0.9
7678,20.6,3453,-3.3
7802,21.1,3382,7
7878,20.8,3451,-3.6
