t_ms,H,T,P,D,RPM,RAW,age,RS
10443,16.7,15.0,3955,1.7,6554,34.0,75,6566
10520,16.6,15.0,3979,-0.6,6553,33.4,11,6607
10644,16.5,15.0,3990,-1.5,6558,34.1,77,6625
10722,16.4,15.0,3985,-1.0,6561,33.7,12,6618
10833,16.5,15.0,3985,-0.8,6565,33.6,71,6612
10911,16.3,15.0,3976,-0.0,6567,34.0,6,6600
11051,16.3,15.0,3985,-0.9,6570,33.4,79,6616
11128,16.4,15.0,3974,-0.0,6573,33.7,14,6599
11238,16.4,15.0,3964,0.9,6570,33.9,80,6582
11332,16.3,15.0,3973,0.0,6568,34.3,15,6599
11442,16.6,15.0,3965,0.6,6567,33.7,81,6585
11520,16.6,15.0,3960,0.8,6565,33.7,16,6580
11647,16.4,15.0,3971,0.1,6564,33.8,82,6595
11723,16.5,15.0,3976,-0.6,6565,33.8,17,6607
11847,16.5,15.0,3973,-0.2,6565,34.2,83,6598
11924,16.5,15.0,3972,0.0,6568,34.1,0,6594
