t_ms,H,P,D
0,11.1,3437,2.3
0,11.3,3320,-1.4
155,11.3,3497,-0.5
249,11.5,3486,0.6
326,12.3,3440,5.8
435,12.5,3450,3.5
528,12.8,3451,2.4
636,12.9,3440,3.8
714,13,3471,-1.6
823,13.1,3440,3.3
901,13.3,3447,1.7
1040,13.4,3429,4.1
1117,13.5,3468,-2.6
1241,13.8,3409,6.2
1319,14.1,3431,1.8
1443,14,3457,-2.1
1521,14.3,3389,8
1645,14.4,3427,1.7
1723,15.9,3319,14.7
1848,15.9,3387,3.1
1926,16.2,3406,-0.7
2035,16,3428,-3.8
2112,14.9,3495,-11.5
2239,14.6,3450,-2.8
2316,14.2,3502,-10.2
2441,13.9,3461,-2.3
2518,14,3442,0.6
2641,14.1,3436,1.4
2718,13.9,3467,-3.1
2842,14.2,3410,5.4
2920,14.2,3432,1.6
3030,14.1,3470,-4.2
3121,14.2,3439,0.8
3245,14.1,3445,0
3322,14.2,3439,0.8
3446,14.1,3441,0.7
3524,14.2,3425,3.1
3648,14.4,3412,4.5
3726,14.3,3444,-0.2
3835,14.2,3445,-0.2
3929,14.6,3404,5.5
4038,14.8,3406,4.5
4116,14.6,3425,1.9
4241,14.7,3428,1.3
4319,15,3411,3
4442,14.8,3455,-3.7
4520,14.8,3410,3.9
4645,14.4,3492,-8.3
4721,14.3,3461,-2.8
4830,14.3,3439,0.9
4908,14.2,3450,-0.4
5047,13.8,3483,-4.7
5124,14.3,3437,1.2
5264,14.2,3454,-1.3
5326,14.3,3438,1.4
5420,14.2,3454,-1.2
5497,14.5,3390,8.6
5637,14.5,3451,-1.7
5715,14.5,3442,0.2
5839,14.5,3438,0.9
5917,14.3,3469,-3.9
6043,14.6,3422,3.2
6121,14.7,3417,3.7
6245,14.9,3420,2.5
6322,15,3432,0.3
6433,14.9,3453,-2.8
6509,15.3,3404,4.1
6648,15.4,3402,3.9
6727,15.5,3406,3.1
6833,15.3,3451,-3.9
6912,15.8,3372,7.8
7035,15.9,3400,2.7
7126,16,3382,5.6
7250,16.4,3355,8.7
7327,16,3420,-0.8
7449,16.2,3376,5.7
7527,15.8,3443,-3.9
7636,15.5,3444,-3.3
7714,14.9,3466,-4.8
7841,14.7,3470,-4.7
7918,14.4,3466,-3
