t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
8,0,0,0,0,46.7,58
12,0,0,0,0,47.1,11
12,0,0,0,0,46.9,181
12,0,0,0,0,47.1,5
12,0,0,0,0,47.1,0
12,0,0,0,0,47.2,60
12,0,0,0,0,47.1,13
12,0,0,0,0,47.2,57
12,0,0,0,0,46.5,14
12,0,0,0,0,46.9,62
12,0,0,0,0,46.8,15
12,0,0,0,0,46.7,63
13,0,0,0,0,46.8,16
13,0,0,0,0,46.9,64
13,0,0,0,0,47.2,17
13,0,0,0,0,47.2,65
13,0,0,0,0,46.8,0
13,0,0,0,0,47.2,65
13,0,0,0,0,47.1,0
13,0,0,0,0,47,67
13,0,0,0,0,47.1,2
13,0,0,0,0,46.2,67
13,0,0,0,0,47.3,2
13,0,0,0,0,46.5,69
13,0,1800,0,0,46.9,4
13,0,1800,0,0,47.3,205
13,0,1800,0,0,46.7,14
13,0,1800,0,0,46.9,3
13,0,1800,0,0,47.2,53
13,0,1800,0,0,47.1,6
13,0,1800,0,0,47.1,54
13,0,1800,0,0,46.7,7
13,0,1800,0,0,47,55
13,0,1800,0,0,46.8,8
13,0,1800,0,0,47.4,55
13,0,1800,0,0,46.4,8
13,0,1800,0,0,47.5,56
13,0,1800,0,644,46.7,9
13,0,1800,0,1275,47,57
13,0,1800,0,1350,47.3,10
13,0,1800,0,1436,47.1,58
13,0,1800,0,1468,46.6,11
13,0,1800,0,1504,47.1,59
13,0,1800,0,1520,47,12
13,0,1800,0,1541,46.7,59
13,0,1800,0,1551,47.1,13
13,0,1800,0,1583,47.1,60
13,0,1800,0,1590,47.2,13
29,0,1800,0,1600,47.3,61
106,0,4100,0,2055,46.9,14
366,0,4100,0,4589,47.3,199
444,0,4100,0,4957,47.1,7
523,0,4100,0,5132,46.8,15
631,0,4100,0,5426,47,64
709,0,4100,0,5568,46.6,0
833,0,4100,0,5702,47.3,65
911,0,4100,0,5858,46.5,0
1037,0,4100,0,5992,47.2,67
1114,0,4100,0,6067,47,2
1239,0,4100,0,6163,47.5,67
1317,0,4100,0,6220,47.2,2
1440,0,4100,0,6297,47.4,68
1518,0,4100,0,6337,47,3
1626,0,4100,0,6393,46.9,68
1718,0,4100,0,6366,47.4,4
1841,0,4100,0,6471,46.7,69
1918,0,4100,0,6432,47.5,5
2026,0,4100,0,6531,46.8,53
2119,0,4100,0,6487,47.1,6
2228,0,4100,0,6514,47.3,54
2307,0,4100,0,6530,47.2,7
2430,0,4100,0,6551,47.1,55
