t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
9,0.1,0,0.6,0,47.4,66
13,0,0,0.6,0,47.1,1
13,0,0,0.6,0,46.3,67
13,0,0,0.6,0,47,2
13,0.1,0,0.6,0,46.8,191
13,0.1,0,0.6,0,47.1,5
13,0.3,0,0.6,0,46.6,10
13,0.1,0,0.6,0,47.2,77
13,0,0,0.6,0,46.8,12
13,0,0,0,0,47,60
13,0,0,0,0,47.4,13
13,0.6,0,0,0,46.9,61
14,0,0,0,0,46.7,14
14,0.1,0,0,0,46.8,62
14,0.3,0,0,0,47.3,15
14,0.1,0,0,0,46.5,62
14,0.4,0,0,0,46.7,16
14,0.2,0,0,0,46.9,63
14,0.2,0,0,0,46.8,17
14,0.1,0,0,0,47,64
14,0.1,4000,0,0,46.9,17
14,0,4000,0,0,47.2,201
14,0,4000,0,0,47.1,9
14,0,4000,0,0,47,17
14,0.1,4000,0,0,46.5,74
14,0.2,4000,0,0,46.8,9
14,0,4000,0,0,46.9,75
14,0,4000,0,0,47.2,10
14,0,4000,0,0,47.1,67
14,0.3,4000,0,0,47.2,2
14,0.2,4000,0,0,46.8,76
14,0.1,4000,0,0,46.5,11
14,0.3,4000,0,0,47.2,77
14,0.3,4000,0,0,46.7,12
14,0,4000,0,0,47.1,60
14,0,4000,0,0,47.2,13
14,0.2,4000,0,0,47,60
14,0,4000,0,0,47.3,14
14,0,4000,0,0,46.9,61
14,0,4000,0,0,46.7,15
14,0.3,4000,0,0,46.6,62
14,0,4000,0,0,46.7,15
14,0,4000,0,0,46.9,63
14,0.1,4000,0,0,46.9,16
14,0.4,4000,0,0,47.4,64
14,0,4000,0,0,47,17
14,0,4000,0,0,47,65
14,0,4000,0,0,47.1,0
14,0,4000,0,0,47.3,57
29,0,4020,0,0,46.9,11
276,0,4350,0.1,0,47,195
352,0,4350,-0.1,0,46.8,4
445,0.1,4350,0.3,0,47.3,11
538,0.1,4350,0.1,0,47.9,60
615,0.1,4350,0.1,0,47,13
739,0,4350,-0.3,0,46.6,62
816,0.1,4350,0.2,0,47.3,15
955,0.2,4350,1,0,47,70
1033,0.3,4350,0.6,0,46.9,5
1155,0,4350,0,0,47.1,70
1232,0,4350,-0.6,0,47.3,6
1342,0,4350,-0.5,0,47,63
1419,0.2,4350,0.4,0,47.4,16
1543,0.1,4350,0.4,0,47.6,72
1636,0.1,4350,-0.3,0,46.7,7
1746,0.1,4350,0,0,47,73
1824,0,4350,-0.2,0,47.5,8
1946,0,4350,-0.1,3188,47,66
2023,0.2,4335,0.6,4165,46.6,1
2164,0.2,4340,1.3,5111,47,87
2241,0,4350,-0.7,5431,46.8,4
2366,0.1,4345,-0.6,5770,46.9,88
2445,0,4350,-0.3,5952,46.6,5
2554,0,4345,-0.2,6097,47.4,82
2632,0,4349,-0.1,6211,46.5,17
2757,0.2,4341,0.7,6430,46.8,90
2848,0,4350,-0.5,6450,46.9,7
2958,0,4345,-0.7,6607,47.3,77
3036,0,4338,0,6674,47.2,13
3160,0.1,4332,0.1,6755,47.3,66
3237,0,4331,-0.2,6798,46.4,1
3361,0.6,4311,1.9,6787,46.2,74
3438,0.8,4301,2.5,6810,46.1,9
3562,1.6,4264,5,6836,45.3,75
3640,2.9,4229,8.1,6846,43.4,10
3764,3.7,4195,10.6,6914,42.6,76
3841,6,4148,14.4,6833,40.3,11
3965,7,4123,15.5,6877,38.9,77
4041,10.3,4065,20,6858,35.7,12
4165,11.7,4025,22.4,6821,34.4,78
4242,13.9,4050,17.2,6795,33,13
4367,14.8,4049,15.2,6696,30.8,79
4444,18.8,3967,21.9,6678,27.4,14
4567,20.6,3913,26.8,6631,25.4,80
4645,25.2,3900,30.8,6597,21.2,15
4770,26.4,3900,30.8,6551,20,81
4847,29.5,3900,25.3,6523,17.5,16
4970,30.2,3900,21.4,6555,16,69
5032,32.3,3930,15.4,6535,14.2,5
5170,32.9,3919,14.3,6517,14.1,84
5249,33.8,3961,7.5,6510,13.5,1
5358,33.8,3965,5.9,6513,13.5,85
5450,33.3,4012,-0.8,6455,14.3,3
5558,32.8,4036,-3.5,6475,14.7,87
5649,31.6,4064,-7.5,6554,15.6,4
5757,31.3,4069,-8.1,6581,16.4,88
5851,29.2,4109,-11.7,6602,18.1,5
5960,28.9,4106,-12,6634,18,89
6038,27.3,4105,-10.2,6651,20.1,6
6162,26.9,4105,-11,6677,19.3,90
6241,26.5,4063,-5.3,6687,20.4,8
6365,26.5,4048,-3.1,6626,20.6,73
6442,26.1,4035,-2.3,6628,20.6,9
6565,26.4,4022,-0.7,6625,20.6,74
6657,27.4,3968,4.8,6618,19.4,10
6767,27.4,3962,5.2,6662,19.3,75
6845,28.4,3948,5.8,6583,18.4,11
6970,28.6,3937,5.6,6623,18.3,76
7049,29.5,3935,5.5,6545,17.4,11
7158,29.7,3928,5.5,6525,17,77
7251,30.5,3920,4.9,6511,16.2,13
7359,30.7,3917,5.1,6494,16.6,78
7436,30.9,3925,2.9,6547,15.9,14
7560,30.9,3928,2,6475,16.4,79
7637,30.2,3966,-2.3,6534,16.3,15
7761,30.1,3970,-3.5,6538,17.2,81
7838,29.4,3984,-4.4,6479,18,16
7961,28.9,3996,-5.7,6487,18.1,82
8039,27.8,4003,-6.8,6496,19.4,17
8164,27.1,4024,-8.4,6510,20.7,82
8242,25.8,4032,-9,6584,21,0
8364,25.6,4028,-8.4,6537,22.1,84
8442,24.4,4026,-7.4,6610,22.8,1
8565,24.3,4022,-6.7,6621,23.2,85
8641,23.2,4030,-6.6,6626,24.3,2
8766,23,4024,-6.4,6637,23.5,86
8842,22.7,4008,-3.3,6640,24.7,3
8966,22.3,4006,-3.7,6643,25.2,87
9043,21.8,4006,-3.5,6641,24.3,4
9168,21.8,4002,-3.1,6640,25,88
9245,21.7,3988,-1.3,6638,25.1,5
9370,22.1,3973,0.3,6564,24.6,89
9448,22.8,3939,4.1,6622,23.8,7
9571,22.7,3939,3.8,6607,24.2,91
9649,22.9,3959,1.4,6597,24,8
9758,23,3952,1.4,6590,23.6,73
9850,23.4,3945,2.5,6583,23.8,9
9958,23.5,3942,2,6573,24.1,75
10051,23.3,3965,-0.5,6506,23.5,10
10158,23.4,3961,-0.2,6503,23.7,76
10252,22.7,3977,-2.7,6503,24.4,11
10359,22.4,3995,-4.1,6509,24.6,77
10437,22,3986,-3.3,6577,24.6,12
10562,21.8,3991,-3,6517,26.4,78
10638,20.8,4007,-5.2,6586,26.6,13
10762,20.4,4020,-6.6,6599,27.1,79
10838,19.8,4021,-5.5,6609,27.4,15
10963,19.3,4021,-5.8,6618,28.1,80
11038,18.5,4033,-6,6626,28.6,15
11164,18.3,4024,-5.4,6634,29.2,81
11241,17.8,4023,-4.1,6641,29.4,16
11365,17.9,4008,-2.8,6643,28.5,82
11444,17.8,3998,-0.8,6644,29.2,17
11567,17.9,3988,-0.4,6641,28.8,83
11644,17.6,3986,-0.9,6638,28.8,0
11769,17.8,3990,-0.8,6634,28.9,84
11845,18,3981,0.7,6632,29,1
11969,18,3977,0.6,6625,28.8,85
12048,18.1,3978,0.8,6622,28.8,2
12158,18.1,3976,0.4,6618,28.3,86
12250,18.5,3970,1.6,6615,28.3,3
12359,18.6,3958,2.2,6609,28.5,87
12451,18.6,3975,0.5,6606,28.4,4
12559,18.3,3978,-0.5,6603,29,87
12651,18,3998,-2.3,6540,29.5,5
12759,17.7,3998,-2.7,6609,29.4,88
12837,17.8,3988,-0.6,6548,29.6,6
12962,17.7,3980,-0.3,6612,29.5,82
13038,17.3,3999,-2,6615,29.5,0
13162,17.4,3997,-1.7,6616,29.1,90
13240,17.1,3997,-1.5,6554,29.5,8
13363,17,3995,-1.1,6554,30.5,74
13442,16.7,3995,-1.6,6555,30.4,9
13566,16.7,3999,-1.4,6557,30.4,75
13643,16.7,3986,-0.4,6557,30.6,10
13752,16.4,3994,-1.3,6621,30.8,63
13831,16.5,3989,-0.6,6622,30.5,17
13968,16.4,3992,-0.3,6558,30.6,77
14047,16.5,3979,0.5,6558,30.8,13
14171,16.3,3989,0,6557,30.7,79
14248,16.2,3989,-0.6,6557,31.1,14
14373,16.2,3995,-0.9,6557,30.9,80
14450,16.1,3991,-0.8,6557,31.8,15
14559,15.8,4004,-1.6,6557,31.2,81
14637,15.7,3998,-1.5,6622,31.3,17
14760,15.9,3993,-0.2,6560,30.9,83
14838,15.6,3997,-1.3,6560,30.9,0
14963,16.1,3989,0.3,6555,31.1,84
15040,16.1,3982,0.7,6619,30.8,1
15163,16.2,3980,1.3,6553,30.9,85
15242,16.2,3977,0.8,6616,30.9,3
15366,15.9,3993,-0.4,6551,31.4,86
15444,15.8,3995,-1.3,6615,31.3,4
15567,15.5,4007,-2,6557,31.5,88
15646,15.4,3997,-1.2,6623,31.3,5
15769,15.3,3999,-1.3,6561,31.9,89
15862,15.3,3993,-0.5,6628,31.3,6
15956,15.3,3996,-0.3,6563,31.4,83
16033,15.3,3982,0.4,6626,31.9,0
16172,15.3,3992,-0.5,6561,31.8,73
16249,15.3,3987,0.1,6626,32,9
16357,14.7,4008,-2.2,6629,32.1,74
16450,14.8,3998,-0.9,6632,32.5,10
16558,14.6,4005,-1.8,6637,32.1,76
16651,14.6,3998,-0.7,6635,32.5,11
16759,14.8,3994,-0.4,6573,31.9,77
16837,14.7,3989,0.4,6635,32.4,12
16960,14.9,3990,0.1,6568,32.2,78
17039,14.9,3990,0.1,6631,31.8,14
17163,15.1,3981,1.2,6564,32.9,79
17240,15.5,3975,1.7,6626,31.4,15
17365,15.1,3977,1.6,6622,32.4,81
17443,14.9,3998,-1.2,6622,32.2,16
17568,14.7,4004,-1.8,6625,31.8,82
17646,14.5,4007,-1.4,6628,32.8,17
17769,14.5,4005,-1.8,6632,32.5,83
17846,14.5,4001,-0.2,6634,32.8,1
17970,14.3,3998,-0.7,6635,32.6,84
18048,14.2,4001,-0.6,6635,32.6,2
18156,14.3,4002,-0.5,6568,32.3,79
18235,14.6,3985,1,6631,32.3,14
18372,14.7,3982,1.2,6626,32,87
18449,14.7,3996,0,6623,32.3,4
18558,14.9,3982,1,6621,31.9,88
18650,15.9,3949,5.6,6618,31.6,6
18759,15.6,3954,4.2,6606,31.5,90
18851,16.5,3957,3.8,6602,30.9,7
18959,16.3,3960,2.7,6597,30.4,74
19052,16.5,3972,1.6,6594,30.7,9
19161,16.3,3980,-0.1,6594,30.7,74
19239,16.1,3995,-1.3,6531,31.1,9
19362,15.9,4005,-2.4,6600,31.3,75
19441,15.8,3999,-1.5,6541,31.1,11
19566,15.7,3997,-1,6543,31.4,76
19642,15.7,3991,-0.8,6544,31.2,12
19765,15.6,3996,-0.5,6545,31.5,78
