t_ms,H,P,D
0,10.3,3340,-0.4
157,10.3,3460,-0.8
250,10.2,3500,-0.7
328,10.3,3543,-0.3
435,10.4,3533,1
529,10.7,3530,1.3
622,10.7,3533,0.8
701,11.1,3511,3.5
840,10.7,3555,-2
919,11.1,3528,1.5
1043,11.5,3499,4.9
1121,12.2,3492,5
1247,12.2,3512,2.2
1325,12.9,3485,5.1
1435,13,3501,2.6
1528,13.5,3486,4.1
1639,13.8,3482,4.2
1715,14.3,3466,5.9
1839,14.6,3468,5.1
1917,16.8,3352,20.3
2041,16.9,3411,9.5
2118,17.8,3413,7.6
2243,18,3419,6.5
2321,18.4,3419,5.9
2444,18.5,3429,4.3
2520,18.4,3451,1.3
2646,18.1,3487,-3.2
2724,17.6,3487,-2.3
2848,17.4,3493,-2.8
2928,17.2,3487,-1.5
3038,17.1,3488,-1.5
3115,16.2,3541,-7.5
3238,16.4,3503,-2.3
3316,16.2,3504,-2
3439,16.3,3493,-0.5
3518,16.2,3490,0
3640,16.2,3495,-0.7
3717,16.3,3488,0.3
3843,16.6,3463,3.4
3920,17,3459,3.4
4043,17,3471,1.6
4120,17.3,3465,2
4245,17.5,3460,2.5
4323,18.1,3441,4.2
4446,17.8,3480,-0.7
4528,18.1,3454,2.5
4648,18.3,3452,2.5
4728,18.4,3456,1.7
4836,18.5,3451,2.4
4928,18.7,3446,2.8
5036,18.9,3443,2.8
5130,19.1,3434,3.9
5240,19.2,3431,4
5319,19.5,3443,1.9
5446,19.4,3452,0.7
5525,19.5,3462,-0.9
5648,19.5,3458,-0.3
5726,19.5,3456,0.1
5833,19.5,3454,0.3
5911,19,3488,-3.7
6036,19.1,3466,-0.7
6144,18.7,3495,-4.1
6235,18.7,3479,-1.9
6329,18.4,3482,-1.7
6437,18.4,3477,-1.1
6528,18,3491,-2.3
6637,17.9,3494,-2.5
6730,17.5,3499,-2.4
6838,17.6,3483,-0.3
6916,17.5,3495,-1.8
7040,17.4,3497,-1.8
7119,17.8,3470,1.4
7241,18,3453,3.3
7319,18.4,3450,3.2
7457,18.3,3473,0.2
7518,18.8,3444,3.5
7642,18.6,3471,0.1
7720,19,3449,2.4
7841,19.2,3441,3.2
7918,19.2,3463,0.1
8041,19.2,3459,0.6
8119,19.6,3447,1.9
8243,19.7,3443,2.1
8319,19.5,3473,-1.8
8442,19.6,3453,0.8
8519,19.5,3477,-2.3
8645,19.4,3472,-1.5
8722,19.1,3481,-2.2
8845,19.2,3464,0
8922,19.1,3468,-0.4
9016,19.2,3464,0.1
9094,19,3474,-0.8
9249,18.8,3487,-2.5
9326,18.6,3477,-0.6
9450,18.5,3481,-1.1
9529,18.4,3482,-1
9636,18.7,3456,2.2
9730,19,3466,0.3
9839,19,3466,0.4
9917,19.1,3472,-0.7
