t_ms,H,P,D
0,12.8,3436,6.2
0,13.4,3507,0.9
217,13.2,3528,-1.9
282,13.4,3504,1.5
373,14.2,3473,4
498,13.9,3538,-5.7
576,14.1,3461,6.2
700,14.6,3442,7.7
777,15.5,3402,11.7
901,16.3,3374,13.6
978,17.6,3356,12.1
1086,17.6,3424,1
1179,18.8,3300,18.3
1288,18.7,3438,-5.1
1365,19.5,3355,6
1490,19.7,3368,3.2
1568,19.4,3429,-6.1
1692,19.5,3372,3.2
1769,19.3,3418,-3.8
1894,19.2,3408,-1.8
1973,18.1,3482,-10.1
2099,18,3438,-2.8
2176,16.9,3532,-14.9
2301,16.4,3516,-10.4
2378,15,3555,-12.2
2487,14.9,3503,-3.1
2565,14,3564,-10.4
2690,14.1,3495,0.7
2769,14,3487,2.7
2891,14.2,3475,3.8
2970,14.2,3474,4.1
3078,14.2,3495,0.7
3172,15.4,3385,15.1
3298,15.4,3472,0.5
3377,16.9,3380,10.7
3486,17.2,3402,6.3
3579,18,3387,6.1
3689,18.5,3371,6.9
3766,19.3,3350,7.8
3890,19.5,3380,2.2
3967,19.4,3407,-2.1
4092,19.1,3424,-3.8
4171,18.6,3471,-9.9
4295,18.6,3399,1.8
4373,17.8,3450,-4.5
4497,17.8,3431,-1.4
4575,16.9,3486,-7
4698,16.6,3481,-5.1
4775,15.5,3538,-10.9
4899,15.4,3482,-1.1
4977,14.3,3576,-13.2
5101,14.3,3511,-2.3
5180,14,3505,-0.1
5289,13.9,3518,-2
5366,14,3486,3.1
5488,14.4,3450,7.9
5580,14.4,3491,0.8
5689,14.5,3472,3.7
5780,15.7,3408,10.4
5890,16,3422,7.3
5966,16.9,3395,8.7
6089,17.2,3394,7.8
6168,17.5,3420,2.7
6294,17.7,3405,4.4
6370,17.8,3417,1.3
6493,18.3,3356,11.6
6570,19.3,3388,2
6693,19.5,3350,7.4
6770,19.6,3410,-2.9
6894,19.7,3385,1.2
6972,19,3438,-5.3
7095,18.7,3432,-3.6
7173,18.3,3434,-2.6
7297,18,3462,-6.2
7376,17.7,3462,-5.2
7500,17.4,3478,-6.8
7578,16,3530,-10.8
7687,16,3464,0.1
7780,14.9,3491,-0.4
7888,15.5,3411,10.6
7980,15.2,3497,-2.4
