t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
10,0.4,0,0,0,47.1,60
13,0.3,0,0,0,46.9,14
13,0.5,0,0,0,46.8,53
13,0.5,0,0,0,46.8,7
13,0.3,0,0,0,47.2,185
13,0.3,0,0,0,47,4
13,0,0,0,0,47.3,4
14,0.4,0,0,0,46.7,64
14,0.7,0,0,0,46.4,0
14,0.7,0,0,0,46.8,66
14,0.3,0,0,0,47,1
14,0.4,0,0,0,46.3,67
14,0.4,0,0,0,46.4,2
14,0,0,0,0,46.5,68
14,0.2,0,0,0,47.2,3
14,0.2,0,0,0,47,69
14,0.5,0,0,0,46.9,4
14,0.2,0,0,0,47.2,62
14,0.1,0,0,0,46.8,15
14,0.3,0,0,0,46.6,71
14,0.2,0,0,0,47.1,6
14,0.1,0,0,0,47.1,72
14,0.1,0,0,0,46.7,7
14,0.4,0,0,0,46.4,73
14,0.2,3900,0,0,46.6,8
14,0.6,3900,0,0,46.8,210
14,0.3,3900,0,0,47.1,1
14,0.3,3900,0,0,47.2,8
14,0.5,3900,0,0,46.5,65
14,0.2,3900,0,0,46.9,0
14,0.2,3900,0,0,47.5,66
14,0.3,3900,0,0,47,2
14,0.3,3900,0,0,46.9,67
14,0.4,3900,0,0,46.6,3
14,0.6,3900,0,0,46.9,68
14,0.4,3900,0,0,47.2,4
14,0.7,3900,0,0,46.9,61
14,0.5,3900,0,0,46.7,15
14,0.6,3900,0,0,46.8,63
14,0.5,3900,0,0,47.1,16
14,0.5,3900,0,0,46.5,72
14,0.3,3900,0,0,47,7
14,0.3,3900,0,0,47.2,73
14,0.5,3900,0,0,46.9,8
14,0.2,3900,0,0,46.4,66
14,0.5,3900,0,0,46.6,1
14,0.5,3900,0,0,46.4,75
14,0,3900,0,0,46.5,10
28,0.3,3900,0,0,46.8,76
90,0.1,4100,0,0,46.5,11
356,0.8,4100,0,0,46.5,213
436,0.6,4100,0,0,46.9,4
513,0.3,4100,0,0,46.8,11
621,0.3,4100,0,0,47.1,68
698,0.1,4100,0,0,46.6,3
820,0.6,4100,0,0,47.1,69
897,0.4,4100,0,0,46.4,5
1022,0.7,4100,0,0,46.8,70
1101,0.4,4100,0,0,46.9,6
1226,0.4,4100,0,0,46.7,71
1304,0.7,4100,0,0,46.7,7
1427,0.4,4100,0,0,47.4,73
1507,0.3,4100,0,0,46.9,8
1615,0.3,4100,0,0,46.4,74
1694,0.3,4100,0,0,47.1,9
1819,0.1,4100,0,0,47.1,75
1897,0.6,4100,0,0,46.6,10
2023,0.4,4100,0,0,46.9,76
2099,0.4,4100,0,0,47.1,11
2223,0.3,4100,0,0,46.9,77
2303,0.5,4100,0,0,47,12
2428,0.5,4100,0,0,46.8,60
2521,0.4,4100,0,0,47.4,13
2628,0.6,4100,0,0,47.2,61
2707,0.3,4100,0,2124,46.9,14
