t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
9,0,0,5.2,0,47.4,61
14,0.2,0,5.2,0,47,14
14,0.1,0,5.2,0,46.5,63
14,0.3,0,5.2,0,46.6,16
14,0.4,0,5.2,0,46.5,194
14,0.2,0,5.2,0,46.9,2
14,0,0,5.2,0,47.1,10
14,0,0,5.2,0,47,73
14,0.1,0,5.2,0,46.9,8
14,0.1,0,5.2,0,47.6,67
14,0.3,0,5.2,0,46.8,2
14,0,0,5.2,0,46.9,67
14,0.3,0,5.2,0,47,3
14,0,0,5.2,0,47.4,68
14,0,0,5.2,0,46.9,4
14,0.1,0,5.2,0,46.8,68
14,0.1,1800,5.2,0,47,4
14,0.4,1800,5.2,0,46.3,213
14,0.2,1800,5.2,0,47,4
14,0.2,1800,5.2,0,47.2,11
14,0.2,1800,5.2,0,47,67
14,0.3,1800,5.2,0,46.6,2
14,0.3,1800,5.2,0,47.2,68
14,0.1,1800,5.2,0,46.7,3
14,0.3,1800,5.2,0,46.9,61
14,0.1,1800,5.2,0,47.2,14
14,0,1800,5.2,0,46.9,70
14,0.1,1800,5.2,0,47.2,5
14,0,1800,5.2,0,47.1,64
14,0,1800,5.2,0,47,17
14,0.1,1800,5.2,0,46.6,64
14,0.1,1800,5.2,0,46.4,17
14,0.1,1800,5.2,0,47.4,73
14,0,1800,5.2,0,47.2,8
14,0,1800,5.2,0,46.9,74
14,0.1,1800,5.2,0,47,9
14,0.2,1800,5.2,0,46.9,75
14,0.1,1800,5.2,0,46.7,10
14,0.1,1800,5.2,0,47.2,68
14,0,1800,5.2,0,46.5,3
14,0,1800,5.2,0,46.6,77
75,0.4,3495,-0.9,0,46.9,12
324,0.1,3434,0.6,0,46.8,190
400,0.1,3484,0.4,0,46.6,74
479,0,3700,-3.1,0,47,9
604,0.1,3530,0.3,0,47.2,75
682,0.4,3388,3.3,0,46.6,10
807,0.3,3656,-1.4,0,46.6,76
886,0.3,3681,-1.3,0,47.1,11
1013,0,3700,-4.8,0,47,77
1092,0.3,3406,4.6,0,46.9,12
1185,0,3700,-4.2,0,46.9,56
1263,0,3700,-0.4,0,46.9,10
1386,0.1,3700,-0.3,0,46.9,65
1481,0,3700,-1.6,0,46.9,1
1589,0,3700,-0.1,0,47,66
1669,0.3,3510,4.9,0,46.7,2
1795,0.2,3700,-2.8,0,47.1,67
1872,0,3700,-0.2,0,46.6,3
1996,0.3,3627,3.7,0,46.8,74
2074,0.1,3700,-1.8,0,46.9,10
2200,0.1,3700,1.1,0,46.8,82
2293,0.2,3700,-1.4,1058,47,18
2387,0.1,3700,0,3267,47.1,70
2467,0.3,3689,3,4096,47.2,5
2591,0.1,3700,-3.9,4852,47.2,63
2682,0.3,3700,2.6,5089,47.2,16
2822,0.2,3677,3.2,5501,47,85
2885,0.1,3700,-0.1,5603,47,2
3009,0,3700,-0.4,5858,46.9,86
3088,0,3700,-0.6,5967,47.2,3
3181,0,3700,-0.1,6085,46.9,67
3259,0,3700,-1.2,6162,47.3,2
3383,0,3700,0.8,6206,46.6,68
3461,0,3700,-4.3,6260,46.7,3
