t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
11,0.2,0,5.7,0,46.6,61
15,0.2,0,5.7,0,46.6,14
15,0.5,0,5.7,0,47.1,62
15,0.1,0,5.7,0,46.9,15
15,0.2,0,5.7,0,47.2,186
15,0.1,0,5.7,0,46.8,2
15,0.2,0,5.7,0,47.1,2
15,0.1,0,5.7,0,46.9,57
15,0.2,0,5.7,0,46.8,10
15,0.3,0,5.7,0,47.1,65
15,0.2,0,5.7,0,47.1,1
15,0.2,0,5.7,0,46.4,66
15,0.3,0,5.7,0,46.3,1
15,0.3,0,5.7,0,46.9,67
15,0.1,0,5.7,0,46.9,2
15,0,3300,5.7,0,46.3,204
15,0,3300,5.7,0,46.4,12
15,0.1,3300,5.7,0,46.9,2
15,0.1,3300,5.7,0,46.9,69
15,0.3,3300,5.7,0,46.8,3
15,0.2,3300,5.7,0,46.6,77
15,0.3,3300,5.7,0,47.1,12
15,0.2,3300,5.7,0,46.6,60
15,0.4,3300,5.7,0,46.7,13
15,0.3,3300,5.7,0,46.2,61
15,0.3,3300,5.7,0,46.4,14
15,0.1,3300,5.7,0,46.7,62
15,0.5,3300,5.7,0,47,15
15,0.2,3300,5.7,0,46.6,62
15,0.4,3300,5.7,1025,46.4,16
15,0.2,3300,5.7,3290,47.1,55
15,0.1,3300,5.7,3921,47,8
15,0.1,3300,5.7,4624,46.7,64
15,0.3,3300,5.7,4852,47,17
15,0.4,3300,5.7,5127,46.6,65
15,0.3,3300,5.7,5270,46.5,0
15,0.4,3300,5.7,5440,46.5,58
15,0.1,3300,5.7,5490,47,11
15,0.5,3300,5.7,5627,46.4,67
15,0.2,3300,5.7,5755,46.9,2
15,0.1,3300,5.7,5793,46.7,67
15,0.4,3300,5.7,5849,46.6,3
15,0.2,3300,5.7,5918,46.5,60
16,0.4,3300,5.7,5959,46.6,14
16,0.4,3300,5.7,6076,46.9,69
16,0.4,3300,5.7,6109,46.6,4
16,0.3,3300,5.7,6097,46.6,70
16,0.1,3300,5.7,6122,46.6,5
16,0.2,3300,5.7,6222,46.8,71
16,0.3,3300,5.7,6242,46.2,6
16,0.3,3300,5.7,6211,46.9,72
16,0.2,3300,5.7,6291,46.6,7
16,0.1,3300,5.7,6255,47,73
16,0.2,3300,5.7,6331,46.5,8
16,0.1,3300,5.7,6290,47,73
16,0.1,3300,5.7,6365,46.3,9
16,0.1,3300,5.7,6381,47.1,66
16,0.2,3300,5.7,6329,46.9,1
16,0.2,3300,5.7,6407,46.4,75
16,0.6,3300,5.7,6355,46.3,10
16,0.3,3300,5.7,6369,47.4,68
16,0,3300,5.7,6439,46.8,3
16,0,3300,5.7,6388,46.9,77
16,0,3300,5.7,6455,46.6,12
16,0,3300,5.7,6403,47,53
16,0.1,3300,5.7,6471,47.3,6
16,0.1,3300,5.7,6479,46.7,52
16,0.1,3300,5.7,6483,47.2,6
16,0,3300,5.7,6426,47.2,53
16,0,3300,5.7,6490,47.1,7
16,0.1,3300,5.7,6496,46.8,54
16,0,3300,5.7,6437,47.2,7
16,0.1,3300,5.7,6506,46.9,63
16,0.2,3300,5.7,6509,46.6,16
16,0.1,3300,5.7,6451,46.9,64
72,0.3,3220,2.1,6443,46.5,17
322,0.1,3380,-1.9,6485,46.9,194
400,0.1,3460,-1,6574,46.8,1
478,0.1,3569,0.1,6545,46.9,10
603,0,3577,-0.7,6637,46.8,73
680,0.1,3569,0.6,6694,46.8,8
803,0.2,3568,0.8,6838,46.8,80
881,0.5,3554,2.7,6874,46.6,16
991,0.4,3568,0.9,6852,46.3,68
1069,1.4,3508,8.2,6876,44.9,3
1209,2,3507,7.5,6962,44.8,82
1288,2.9,3469,11.6,6970,43.2,17
1413,3.9,3443,13.7,6958,42.2,83
1489,6.6,3358,21.5,6944,40,0
1613,7.1,3380,17.6,6907,39,84
1690,10.2,3289,25.5,6882,35.5,1
1815,11.1,3283,24.8,6822,35.4,85
1894,13.8,3255,24.3,6720,33,2
2004,14,3308,16.3,6738,32.6,86
2083,17.9,3172,33.6,6711,28.2,4
2207,18.8,3158,29.4,6580,27.8,87
2286,23.6,3100,42.8,6600,22.9,5
2409,24.4,3100,33.2,6461,22.2,88
2486,26.8,3100,25.1,6482,19.5,6
2610,27.4,3116,20.4,6423,19.7,90
2688,28.1,3173,10.8,6399,18.3,7
2813,27.9,3233,2.4,6385,19.5,74
2889,26.8,3309,-6.9,6329,20.5,9
3014,26.4,3312,-6.7,6418,21.4,74
3090,23.9,3423,-18.6,6381,24.1,10
3213,22.7,3443,-19.6,6446,25,75
3290,19.5,3539,-27.8,6497,28.2,11
3413,18.6,3496,-20.2,6577,29.3,76
3491,17,3478,-14.9,6683,30.1,12
3614,16.8,3431,-8,6662,30.3,78
3692,15.3,3479,-12.3,6685,31.5,13
3815,15.5,3421,-4.2,6781,31.6,79
3894,15.3,3403,-1.5,6788,31,14
4003,16,3349,5,6718,30.6,80
4081,17.3,3283,12.3,6708,29.1,16
4205,17.8,3294,9.7,6741,29.3,81
4284,19.1,3247,14.2,6718,27.2,16
