t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
9,15.2,3999,-0.2,6668,32.2,86
12,15,4005,-0.6,6606,32.4,3
12,14.8,0,-0.6,6102,31.7,210
12,14.5,0,-0.6,5932,33.1,0
12,13.7,0,-0.6,5763,33.9,8
12,13,0,-0.6,5595,35,67
12,9,0,-0.6,5383,39.2,2
12,7,0,-0.6,5207,42.4,68
12,1.5,0,0,5020,45.9,3
12,1.5,0,0,4808,45.7,69
12,0.8,0,0,4716,46.3,4
12,0.5,0,0,4524,47.7,70
12,0.3,0,0,4395,47,5
12,0.3,0,0,4170,46.9,71
12,0.3,0,0,4091,47,6
12,0.2,0,0,3916,47.5,72
12,0.2,0,0,3805,46.7,7
13,0.3,0,0,3603,46.7,73
13,0.3,0,0,3536,46.6,8
13,0.5,0,0,3376,46.6,73
13,0.2,0,0,3239,47,9
13,0.2,0,0,3117,47.1,74
13,0.4,3900,0,3043,46.6,10
13,0.2,3900,0,4509,47.3,211
13,0,3900,0,4758,47.4,2
13,0.3,3900,0,5010,47.3,9
13,0.1,3900,0,5189,47,67
13,0.3,3900,0,5322,47,2
13,0.3,3900,0,5494,47.3,68
13,0.2,3900,0,5644,47,3
13,0.2,3900,0,5704,47.4,61
13,0.3,3900,0,5778,46.9,14
13,0.3,3900,0,5933,47,70
13,0.3,3900,0,5926,46.9,5
13,0.3,3900,0,5995,47,71
13,0.3,3900,0,6035,46.9,6
13,0.3,3900,0,6150,46.9,72
13,0.3,3900,0,6181,46.9,7
13,0.3,3900,0,6161,47,73
13,0.1,3900,0,6185,46.6,8
13,0.5,3900,0,6278,47.1,74
13,0,3900,0,6239,46.9,9
13,0.3,3900,0,6326,46.9,75
13,0.4,3900,0,6278,46.9,10
13,0.5,3900,0,6359,46.5,76
13,0.2,3900,0,6309,47.2,11
13,0.1,3900,0,6325,47.4,77
30,0.1,4080,0,6395,47.2,11
294,0.2,4100,0,6458,47.4,197
371,0.4,4100,0,6557,46.8,5
450,0.4,4100,0,6523,47,13
558,0.2,4100,0,6628,47.1,70
637,0.1,4100,0,6589,47.3,5
745,0.3,4100,0,6683,46.6,64
839,0.3,4100,0,6702,46.9,17
950,0.2,4100,0,6665,46.6,65
1028,0.3,4100,0,6680,46.9,0
1152,0.5,4100,0,6700,46.8,73
1245,0.3,4100,0,6711,47.1,8
1355,0.3,4100,0,6790,46.8,74
1434,0.4,4100,0,6799,46.2,9
1558,0.8,4100,0,6743,46.7,75
1635,1,4100,0,6749,46.3,10
1760,1.4,4100,0,6756,45.8,76
1838,1.8,4100,0,6758,45.1,11
1963,2.2,4100,0,6825,45,76
2041,3.2,4100,0,6829,43.9,11
2166,3.3,4100,0,6765,43.7,77
2244,4.6,4100,0,6764,42.5,12
2354,5.4,4100,0,6764,41.7,60
2446,6.8,4100,0,6762,40.3,13
2554,7.4,4100,0,6825,39.3,61
2632,9.3,4100,0,6825,37.3,14
2773,10.3,3896,1.4,6799,35.9,75
2852,12.8,3800,14.6,6762,33.9,10
2976,13.5,3800,19.2,6628,33.5,76
3053,14.3,3823,7.6,6651,32.6,11
3178,14.7,3862,4.2,6543,32,77
3256,16.8,3800,9.9,6583,30.1,13
3366,17.4,3800,12.9,6479,29.2,78
3460,18.7,3800,11,6517,28.5,14
3568,18.8,3811,7.9,6487,28.5,80
3646,18.8,3888,0.9,6410,28.6,15
3771,18.5,3954,-4.1,6418,28.8,81
3847,17.7,4003,-7.4,6492,30.2,17
3971,17.2,4032,-9.2,6525,29.7,83
4050,15.4,4036,-9.5,6483,32,0
4176,15.2,4082,-11.1,6520,31.8,84
4252,14.1,4049,-7.1,6545,33.9,1
4378,13.6,4059,-7.3,6571,34.3,85
4455,14,3976,1.5,6586,33.3,2
4579,13.9,3945,2.9,6583,33.7,86
4656,13.3,3996,-1.8,6577,34.6,3
4766,13,4030,-4.2,6584,34.5,87
