t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
10,0.1,0,-0.4,0,46.8,72
13,0,0,-0.4,0,47.6,7
13,0.2,0,-0.4,0,47.5,65
13,0.2,0,-0.4,0,46.5,0
13,0.4,0,-0.4,0,46.7,197
13,0.2,0,-0.4,0,46,4
13,0,0,-0.4,0,46.6,15
13,0.3,0,-0.4,0,47.3,67
13,0.2,0,-0.4,0,46.8,2
13,0.3,0,-0.4,0,47.1,76
14,0.1,0,0,0,46.6,11
14,0.3,0,0,0,47,70
14,0.3,0,0,0,46.5,5
14,0.1,0,0,0,46.8,60
14,0.1,0,0,0,46.9,13
14,0.2,0,0,0,47.4,61
14,0.1,0,0,0,47,14
14,0.2,0,0,0,46.8,53
14,0.1,0,0,0,47.1,7
14,0.2,0,0,0,46.9,54
14,0.1,4000,0,0,46.7,8
14,0,4000,0,0,46.9,199
14,0.2,4000,0,0,47.1,7
14,0.1,4000,0,0,47,15
14,0,4000,0,0,46.9,65
14,0.1,4000,0,0,46.8,0
14,0.1,4000,0,0,46.7,65
14,0.3,4000,0,0,46.7,0
14,0.2,4000,0,0,47,74
14,0,4000,0,0,46.9,9
14,0.1,4000,0,0,46.7,74
14,0,4000,0,0,46.9,10
14,0.1,4000,0,0,47.5,67
14,0.2,4000,0,0,46.9,2
14,0,4000,0,0,47,68
14,0,4000,0,0,46.9,3
14,0.1,4000,0,0,47.1,70
14,0.1,4000,0,0,47.3,5
14,0,4000,0,0,46.4,53
14,0,4000,0,0,47,6
14,0.1,4000,0,3001,47.2,61
14,0.1,4000,0,3847,47.1,14
14,0.1,4000,0,4560,47,61
14,0.1,4000,0,4819,47.4,15
14,0.1,4000,0,5107,47.3,62
14,0.3,4000,0,5255,47.5,15
14,0.1,4000,0,5377,46.9,63
14,0.1,4000,0,5530,46.7,16
14,0.3,4000,0,5652,47.1,64
28,0.2,3940,0,5663,46.9,17
275,0.1,4222,-0.3,5957,46.6,201
369,0.3,4229,-0.3,6103,46.9,73
447,0.1,4240,-0.6,6118,46.8,3
556,0.1,4256,-0.3,6278,47.5,87
634,0.3,4256,0.4,6335,46.7,4
759,0.2,4264,0.9,6410,47.4,81
836,0.1,4276,-0.4,6391,46.8,16
961,0,4279,-0.5,6454,46.9,89
1038,0.2,4279,0.7,6551,47.1,6
1164,0.1,4283,0.6,6602,47,90
1241,0.2,4291,0,6634,46.6,7
1352,0.2,4291,0.4,6612,46.9,84
1431,0,4289,-0.6,6703,47.3,1
1557,0,4289,-0.5,6674,46.8,73
