t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
13,0.3,0,-7.9,0,46.7,73
16,0.4,0,-7.9,0,46.8,8
16,0.2,0,-7.9,0,47.1,197
16,0,0,-7.9,0,47,2
16,0.1,0,-7.9,0,46.9,13
16,0,0,-7.9,0,46.7,67
16,0.1,0,-7.9,0,46.7,2
16,0.4,0,-7.9,0,46.5,76
16,0.2,0,-7.9,0,47.3,11
16,0.1,0,-7.9,0,46.8,77
16,0.1,0,0,0,46.4,12
16,0.3,3000,0,0,46.7,197
16,0.2,3000,0,0,46.4,5
17,0.2,3000,0,0,46.5,13
17,0.2,3000,0,0,46.5,61
17,0.3,3000,0,0,46.7,14
17,0.3,3000,0,0,46.6,70
17,0.1,3000,0,0,46.9,5
17,0.1,3000,0,0,46.9,71
17,0.3,3000,0,0,46.7,6
17,0.3,3000,0,0,47.1,72
17,0,3000,0,0,47,7
17,0.1,3000,0,0,47.1,72
17,0.1,3000,0,0,46.9,7
17,0.1,3000,0,0,47.2,65
17,0.1,3000,0,0,46.8,0
17,0,3000,0,0,46.7,74
17,0.1,3000,0,0,46.6,9
17,0.3,3000,0,0,46.8,75
17,0,3000,0,0,47,10
17,0.1,3000,0,2186,46.8,76
17,0,3000,0,2169,46.8,11
17,0.1,3000,0,3466,46.8,76
17,0,3000,0,3874,46.7,12
17,0.1,3000,0,4226,46.9,77
17,0.2,3000,0,4397,46.9,12
17,0,3000,0,4536,47.2,53
17,0,3000,0,4636,47.6,6
17,0.1,3000,0,4775,46.8,61
17,0.3,3000,0,4896,46.3,14
17,0.3,3000,0,4993,46.9,62
17,0.4,3000,0,4995,46.6,15
17,0.2,3000,0,5113,47.2,56
17,0.1,3000,0,5155,47,9
17,0,3000,0,5213,47,63
17,0.1,3000,0,5246,47,17
17,0,3000,0,5234,46.5,56
17,0,3000,0,5259,47.3,9
17,0.1,3000,0,5348,46.8,65
17,0.2,3000,0,5368,46.4,0
17,0.2,3000,0,5394,46.7,59
17,0.1,3000,0,5360,46.9,12
17,0,3000,0,5385,46.8,66
17,0.1,3000,0,5453,47,2
17,0.1,3000,0,5472,46.8,67
17,0.2,3000,0,5483,46.9,2
17,0.1,3000,0,5501,47.1,68
17,0,3000,0,5458,47,3
17,0.1,3000,0,5471,46.3,61
17,0.4,3000,0,5535,47.2,14
17,0,3000,0,5550,46.8,62
17,0,3000,0,5506,46.9,15
17,0,3000,0,5517,47.3,63
17,0.1,3000,0,5580,46.6,16
17,0.1,3000,0,5541,46.5,71
17,0.1,3000,0,5606,46.9,6
17,0,3000,0,5568,47.3,72
17,0.2,3000,0,5578,47.1,7
17,0,3000,0,5592,46.6,65
17,0.3,3000,0,5658,46.6,0
17,0.4,3000,0,5671,46.6,74
39,0,3000,0,5624,47.5,9
270,0,3420,-10.5,5986,47.1,210
348,0,3500,4,6088,47.4,1
441,0.1,3523,8.8,6195,47.7,8
566,0.1,3508,9.9,6351,46.9,79
645,0.2,3550,9.3,6373,47.4,14
753,0.2,3564,9.2,6558,46.6,73
830,0.1,3609,8.7,6571,47,8
955,0.2,3625,8.7,6756,46.6,73
1032,0.3,3640,9.4,6827,46.7,9
1156,0.1,3668,8.5,6874,47,81
1233,0.4,3668,8.6,7002,46.8,17
1358,0.6,3646,10.1,7077,45.7,82
1437,2,3599,12.5,7107,44.4,17
1563,2.7,3574,13.2,7063,43.7,83
1642,6.1,3474,15.8,7134,40.2,0
1767,6.9,3433,16.6,7103,39.3,84
1845,11.6,3307,17.2,6999,34.7,1
1954,12.4,3300,16.8,6931,34,85
2047,16.2,3330,10,6887,29.3,2
2154,17.4,3300,11.9,6901,28,73
2232,24.6,3300,21.8,6860,21.3,9
2356,26.6,3300,26,6744,19.1,74
2433,31.8,3300,23.2,6712,13.6,10
2542,33.6,3300,21.7,6740,12.4,76
2620,36.1,3300,9.7,6715,10.4,12
2744,37.4,3300,5,6623,8.8,60
2823,40.1,3300,4,6672,7,15
2949,39.8,3300,0.4,6584,7.3,63
3042,38.8,3300,-11.8,6580,8.8,0
3166,38,3317,-16.9,6644,9.2,79
3244,36.9,3359,-19.2,6651,10.2,15
3368,36.6,3323,-17.6,6663,10.8,82
3447,36.2,3300,-12.8,6660,11.1,0
3558,35.9,3300,-12.6,6654,10.8,84
3634,35.5,3300,-12,6648,11.7,2
3743,35.5,3300,-11.8,6644,11.5,73
3821,34.7,3300,-12.5,6578,12.1,9
3945,34.4,3300,-13.7,6641,13.2,75
4024,33.6,3300,-14.3,6574,13.7,11
4147,33.2,3300,-13.8,6637,14.1,76
4225,32.2,3300,-13.2,6570,15.2,12
4366,31.8,3308,-13.7,6571,15.1,74
4444,31.1,3300,-11.1,6635,16.1,9
4554,30.8,3300,-11.4,6568,15.9,74
4646,30,3302,-11.7,6629,17,9
4754,30.1,3300,-11,6629,16.9,62
4831,29.4,3300,-10.6,6564,17.7,15
4941,29.1,3300,-10.6,6626,18.5,63
5035,28,3322,-11.4,6561,19,16
5158,27.9,3314,-10.9,6570,19.4,77
5235,26.9,3303,-9.5,6634,20.4,12
5361,26.5,3315,-10.1,6570,20.3,78
5439,26.1,3300,-8.5,6634,21.2,13
5563,25.7,3300,-8.7,6570,21.4,79
5639,25.2,3300,-8,6631,22.3,14
5762,24.8,3308,-8.4,6567,22.2,80
5840,24.3,3300,-7.3,6629,23,15
5964,24,3312,-7.8,6567,22.9,81
6042,23.2,3315,-7.4,6631,23.9,17
6166,23.2,3320,-7.5,6570,23.7,82
6243,22.5,3304,-6,6635,24,0
6367,22.4,3310,-6.3,6568,25.1,83
6446,21.8,3317,-6.3,6635,25.1,1
6554,21.8,3300,-5.4,6570,25.4,85
6646,21.9,3300,-2.9,6631,25.7,2
6754,21.7,3300,-2.9,6626,25.1,73
6833,22.3,3300,-1.4,6557,24.8,8
6941,22.3,3300,-0.6,6618,25.3,74
7032,22.9,3300,0.3,6551,23.7,10
7155,23,3300,0.5,6547,24,75
7232,23.6,3300,0.4,6544,22.7,11
7342,23.8,3300,0.7,6543,22.3,77
7420,24.2,3300,0.4,6541,22.8,12
7545,24.2,3300,-0.3,6538,23.1,78
7624,24.4,3300,-2.4,6535,22.4,13
7749,24.9,3300,-0.1,6535,22.2,60
7825,24.6,3300,-1.3,6599,21.8,14
7950,24.9,3300,-1.6,6535,22.2,62
8027,24.4,3300,-3.3,6602,22.7,15
8153,24.2,3300,-4.8,6603,22.5,62
8232,23.9,3300,-5.3,6605,23.2,16
8340,23.7,3300,-5.2,6606,23.7,64
8433,22.6,3301,-6.9,6606,24.5,17
8541,22.8,3300,-6.6,6607,24.2,65
8636,22.3,3300,-5,6609,24.8,0
8761,21.9,3303,-6.1,6545,24.9,79
8839,21.8,3300,-5.1,6610,25.5,14
8963,21.7,3300,-4.8,6550,25.3,80
9040,21.1,3300,-4.2,6613,26,15
9166,20.7,3322,-5.8,6555,26.9,81
9245,20.1,3333,-5.8,6625,26.9,17
9369,20,3318,-4.9,6567,27,82
9446,19.9,3300,-3.1,6632,27.5,17
9555,19.9,3300,-3,6565,26.8,76
9632,20,3300,-0.9,6564,27.2,11
9741,19.9,3300,-2.3,6628,27.1,71
9835,19.7,3300,-2.7,6563,27.6,6
9960,19.3,3317,-4.2,6567,27.9,85
10039,18.9,3323,-4,6638,27.9,2
10162,19,3309,-3.4,6578,28.2,86
10239,18.6,3302,-2.7,6643,28.8,3
