t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
9,0.3,0,-1.8,0,46.7,64
12,0.2,0,-1.8,0,46.1,17
12,0.1,0,-1.8,0,47,188
12,0.2,0,-1.8,0,47,2
12,0.2,0,-1.8,0,47.2,4
12,0,0,-1.8,0,47.1,66
12,0.2,0,-1.8,0,46.9,1
12,0.3,0,-1.8,0,46.7,67
12,0,0,-1.8,0,47,2
12,0.1,0,-1.8,0,47.2,68
12,0.1,0,-1.8,0,46.8,3
12,0.1,0,-1.8,0,46.5,69
13,0.1,0,-1.8,0,47,4
13,0.1,0,-1.8,0,47.1,62
13,0.3,0,-1.8,0,47.2,15
13,0.2,0,-1.8,0,47.3,70
13,0.3,0,-1.8,0,47.2,5
13,0,0,-1.8,0,47.2,71
13,0,3900,-1.8,0,47.1,6
13,0,3900,-1.8,0,47.5,201
13,0.1,3900,-1.8,0,46.5,9
13,0.2,3900,-1.8,0,46.9,17
13,0.2,3900,-1.8,0,46.6,74
13,0.2,3900,-1.8,0,47,9
13,0.2,3900,-1.8,0,46.7,66
13,0.3,3900,-1.8,0,47,2
13,0.1,3900,-1.8,0,46.7,75
13,0.1,3900,-1.8,0,47.1,10
13,0,3900,-1.8,0,46.5,68
13,0.2,3900,-1.8,0,46.9,3
13,0.1,3900,-1.8,0,47.2,70
13,0.2,3900,-1.8,0,47.2,5
13,0.1,3900,-1.8,0,46.8,53
13,0.2,3900,-1.8,0,46.6,6
13,0.2,3900,-1.8,0,46.8,60
13,0,3900,-1.8,0,46.8,13
13,0.3,3900,-1.8,0,46.4,61
13,0.3,3900,-1.8,0,46.9,14
13,0.3,3900,-1.8,0,46.8,54
13,0.1,3900,-1.8,0,47.1,7
13,0.1,3900,-1.8,0,47.3,63
13,0.1,3900,-1.8,0,46.9,16
13,0.3,3900,-1.8,0,47,64
13,0,3900,-1.8,1790,47.1,17
13,0.1,3900,-1.8,3543,46.7,64
13,0.2,3900,-1.8,4086,46.6,18
13,0.2,3900,-1.8,4595,46.7,65
13,0.3,3900,-1.8,4799,46.9,0
13,0.1,3900,-1.8,5046,47.4,66
13,0.1,3900,-1.8,5176,46.9,1
13,0,3900,-1.8,5328,47.1,59
13,0.2,3900,-1.8,5417,46.9,12
13,0,3900,-1.8,5530,46.9,60
13,0.1,3900,-1.8,5651,46.4,13
13,0,3900,-1.8,5680,47.1,61
13,0.1,3900,-1.8,5787,46.8,14
13,0.2,3900,-1.8,5800,47.2,69
13,0.2,3900,-1.8,5898,46.5,5
13,0.4,3900,-1.8,5959,47,70
13,0.2,3900,-1.8,5992,46.8,5
13,0.2,3900,-1.8,6041,47.2,71
13,0.1,3900,-1.8,6070,47.2,6
13,0.1,3900,-1.8,6109,46.8,72
13,0.1,3900,-1.8,6133,47.2,7
13,0,3900,-1.8,6102,46.8,65
13,0,3900,-1.8,6181,46.6,0
13,0.1,3900,-1.8,6211,47.2,74
13,0,3900,-1.8,6227,46.9,9
13,0.1,3900,-1.8,6248,46.6,66
13,0,3900,-1.8,6260,47,2
13,0,3900,-1.8,6217,46.7,75
13,0,3900,-1.8,6229,46.9,10
13,0.1,3900,-1.8,6244,47.3,68
13,0.1,3900,-1.8,6313,46.7,3
13,0.2,3900,-1.8,6326,46.7,77
13,0.1,3900,-1.8,6272,46.7,12
13,0.1,3900,-1.8,6343,47.3,78
13,0.1,3900,-1.8,6286,46.3,13
230,0,3880,-0.2,6353,47,189
307,0,3960,-0.2,6294,46.7,1
384,0.1,4109,0.3,6378,46.5,5
508,0.1,4108,0.4,6377,46.9,68
585,0,4122,-0.2,6479,46.9,3
709,0.1,4121,-0.1,6533,47,69
787,0.2,4121,0.1,6500,46.6,4
911,0.1,4114,0.6,6545,46.8,77
988,0.1,4127,0.1,6632,47,12
1109,0,4134,-0.2,6606,46.7,78
1185,0.1,4132,0.1,6691,47,13
1296,0.1,4131,0.2,6718,47.2,71
1388,0,4142,-0.2,6669,47.3,7
1499,0,4144,-0.2,6758,47.2,72
1576,0.4,4127,1,6772,46.8,7
1716,0.2,4130,0.9,6720,46.9,80
1795,0.4,4132,0.9,6727,46.7,15
1918,0.5,4133,1,6807,46.1,81
1995,1.2,4104,2.8,6810,45.9,16
2105,1.3,4097,3.3,6741,44.7,82
2184,2.5,4056,5.8,6735,43.9,17
2308,3.1,4034,7.1,6782,43.9,83
2386,4.3,4028,7.3,6772,41.7,0
2511,4.9,4002,8.8,6685,41.7,84
2587,6.4,3991,9.3,6668,40.2,1
2713,6.7,3980,10,6706,40.1,84
2792,8.5,3961,10.8,6625,38.2,2
2915,9,3947,11.6,6660,37.4,85
2992,11.1,3922,12.7,6641,35.4,3
3117,11.3,3923,12.6,6610,35.3,87
3195,12.8,3947,10.8,6593,34.3,4
3334,13.1,3956,10.2,6577,33.4,87
3411,14,4001,7.1,6510,32.5,5
3518,14,4019,6,6580,33,89
3596,14.2,4070,2.8,6524,32.7,6
3719,14.3,4077,2.3,6548,33.1,90
3796,14.1,4112,0.2,6564,33,7
3906,14,4128,-0.7,6594,33.1,73
3985,14,4123,-0.5,6615,33.1,9
4107,14.5,4096,1.2,6700,32.3,75
4183,14.4,4100,0.9,6644,32.7,10
4308,14.3,4110,0.3,6723,32.6,76
4385,14.8,4088,1.6,6730,32,11
4510,15,4079,2.1,6668,31.9,77
4589,16.6,3995,6.9,6663,30.2,13
4713,17,3974,8.1,6638,30.2,78
4791,18.3,3959,8.7,6619,27.7,14
4916,19.3,3919,10.9,6651,26.6,79
4993,22.1,3840,15.1,6561,23.6,15
5116,23.3,3800,18.2,6568,23.1,80
