t_ms,H,T,E,P,M,D,R,RAW,A,F,PRE,CAS,RS,CM,FH
23,6.9,10.0,3.1,4008,1,-1.8,6684,42.6,14,36.0,0,1,6696,2,0.00
27,7.0,10.0,3.0,4008,0,-2.0,6685,42.2,9,36.0,0,1,6699,2,0.00
27,7.2,10.0,2.8,4005,0,-1.4,6623,42.6,0,36.0,0,1,6685,2,0.00
27,7.2,10.0,2.8,4000,0,-0.9,6626,42.2,2,36.0,0,1,6677,2,0.00
27,7.1,10.0,2.9,3997,0,-0.9,6691,42.6,4,36.0,0,1,6677,2,0.00
27,7.1,10.0,2.9,3994,0,-0.8,6691,41.7,6,36.0,0,1,6676,2,0.00
27,6.9,10.0,3.1,3996,1,-1.0,6691,43.1,7,36.0,0,1,6681,2,0.00
43,7.1,10.0,2.9,3995,0,-0.8,6628,42.2,9,36.0,0,1,6676,2,0.00
43,6.8,10.0,3.2,4002,1,-1.2,6629,42.9,9,36.0,0,1,6686,2,0.00
74,6.8,10.0,3.2,4007,1,-1.5,6694,42.7,9,39.0,0,1,6693,2,0.00
88,6.6,10.0,3.4,4014,1,-2.1,6694,42.5,9,39.0,0,1,6706,2,0.00
104,6.7,10.0,3.3,4014,1,-2.4,6632,42.8,9,39.0,0,1,6710,2,0.00
119,6.8,10.0,3.2,4014,1,-2.0,6634,42.6,1,39.0,0,1,6701,2,0.00
151,6.8,10.0,3.2,4008,1,-1.6,6700,42.9,3,39.0,0,1,6694,2,0.00
166,6.7,10.0,3.3,4006,1,-1.5,6702,43.1,5,39.0,0,1,6694,2,0.00
181,6.6,10.0,3.4,4007,1,-1.6,6702,42.4,7,39.0,0,1,6698,2,0.00
212,6.7,10.0,3.3,4007,1,-1.5,6638,42.4,9,39.0,0,1,6694,2,0.00
227,6.8,10.0,3.2,4000,1,-0.8,6640,42.9,9,39.0,0,1,6681,2,0.00
320,6.8,10.0,3.2,3993,1,-0.3,6641,43.2,76,39.0,0,1,6672,2,0.00
335,6.7,10.0,3.3,3996,1,-0.3,6640,42.7,8,39.0,0,1,6673,2,0.00
351,6.6,10.0,3.4,4000,1,-0.5,6706,42.5,9,39.0,0,1,6679,2,0.00
366,6.7,10.0,3.3,3996,1,-0.3,6706,42.6,9,39.0,0,1,6675,2,0.00
397,6.8,10.0,3.2,3989,1,0.0,6708,43.0,9,39.0,0,1,6667,2,0.00
412,6.8,10.0,3.2,3986,1,0.4,6643,42.6,9,39.0,0,1,6660,2,0.00
428,6.8,10.0,3.2,3981,1,0.9,6643,42.6,1,39.0,0,1,6651,2,0.00
459,6.8,10.0,3.2,3978,1,1.0,6706,43.0,3,39.0,0,1,6649,2,0.00
474,6.7,10.0,3.3,3981,1,0.7,6706,43.0,5,39.0,0,1,6656,2,0.00
490,6.5,10.0,3.5,3990,1,0.1,6643,42.6,7,39.0,0,1,6669,2,0.00
506,6.5,10.0,3.5,3997,1,-0.4,6644,42.6,9,39.0,0,1,6679,2,0.00
537,6.7,10.0,3.3,3995,1,-0.5,6706,43.1,9,39.0,0,1,6678,2,0.00
552,6.8,10.0,3.2,3989,1,-0.1,6706,42.6,9,39.0,0,1,6670,2,0.00
568,6.7,10.0,3.3,3988,1,-0.0,6641,42.8,9,39.0,0,1,6669,2,0.00
599,6.7,10.0,3.3,3989,1,0.1,6643,42.3,9,39.0,0,1,6668,2,0.00
615,7.0,10.0,3.0,3986,0,1.1,6643,42.8,0,39.0,0,1,6647,2,0.00
630,6.9,10.0,3.1,3973,1,1.4,6706,43.2,2,39.0,0,1,6642,2,0.00
646,6.7,10.0,3.3,3978,1,0.9,6706,43.0,4,39.0,0,1,6653,2,0.00
677,6.5,10.0,3.5,3991,1,-0.0,6641,42.8,6,39.0,0,1,6674,2,0.00
692,6.5,10.0,3.5,4001,1,-0.8,6643,42.6,8,39.0,0,1,6688,2,0.00
707,6.6,10.0,3.4,4002,1,-1.1,6706,42.6,9,39.0,0,1,6691,2,0.00
739,6.7,10.0,3.3,3997,1,-0.9,6708,42.5,9,39.0,0,1,6686,2,0.00
816,6.8,10.0,3.2,3994,1,-0.4,6643,42.3,66,39.0,0,1,6676,2,0.00
832,6.9,10.0,3.1,3994,1,0.2,6708,42.6,0,39.0,0,1,6666,2,0.00
848,6.8,10.0,3.2,3985,1,0.4,6708,42.4,2,39.0,0,1,6662,2,0.00
864,6.9,10.0,3.1,3981,1,0.7,6643,42.4,4,39.0,0,1,6656,2,0.00
895,6.9,10.0,3.1,3978,1,1.1,6643,42.3,6,39.0,0,1,6649,2,0.00
911,7.0,10.0,3.0,3973,0,1.5,6643,42.2,8,39.0,0,1,6639,2,0.00
926,7.1,10.0,2.9,3966,0,1.9,6705,42.8,9,39.0,0,1,6632,2,0.00
958,7.0,10.0,3.0,3965,0,2.0,6705,42.6,9,39.0,0,1,6632,2,0.00
973,6.8,10.0,3.2,3973,1,1.5,6640,43.1,9,39.0,0,1,6643,2,0.00
988,6.7,10.0,3.3,3982,1,0.8,6640,42.0,9,39.0,0,1,6657,2,0.00
1004,6.9,10.0,3.1,3991,1,-0.1,6703,42.3,0,39.0,0,1,6671,2,0.00
1034,7.0,10.0,3.0,3988,1,0.1,6703,42.0,2,39.0,0,1,6667,2,0.00
1050,7.1,10.0,2.9,3980,0,0.6,6640,42.3,4,39.0,0,1,6657,2,0.00
1064,7.1,10.0,2.9,3978,0,0.9,6638,42.3,6,49.0,0,1,6651,2,0.00
1095,7.1,10.0,2.9,3977,0,1.1,6703,42.0,7,49.0,0,1,6647,2,0.00
1112,7.1,10.0,2.9,3974,0,1.2,6702,42.4,9,49.0,0,1,6645,2,0.00
1127,7.1,10.0,2.9,3973,0,1.2,6702,42.4,9,49.0,0,1,6646,2,0.00
1158,7.0,10.0,3.0,3977,0,1.0,6637,42.7,9,49.0,0,1,6650,2,0.00
1173,7.0,10.0,3.0,3981,0,0.7,6635,42.1,9,49.0,0,1,6656,2,0.00
1188,7.0,10.0,3.0,3984,0,0.6,6699,42.3,9,49.0,0,1,6658,2,0.00
1203,7.3,10.0,2.7,3980,0,1.0,6699,41.8,1,49.0,0,1,6647,2,0.00
1233,7.4,10.0,2.6,3968,0,1.5,6635,42.3,3,49.0,0,1,6637,2,0.00
1311,7.4,10.0,2.6,3969,0,1.5,6696,42.3,90,49.0,0,1,6637,2,0.00
1342,7.6,10.0,2.4,3962,0,1.9,6696,41.8,1,49.0,0,1,6629,2,0.00
1357,7.6,10.0,2.4,3960,0,2.2,6629,42.3,3,49.0,0,1,6622,2,0.00
1373,7.6,10.0,2.4,3961,0,2.2,6629,42.0,5,49.0,0,1,6623,2,0.00
1404,7.5,10.0,2.5,3963,0,1.9,6693,41.9,7,49.0,0,1,6629,2,0.00
1435,7.5,10.0,2.5,3966,0,1.5,6693,41.8,9,49.0,0,1,6638,2,0.00
1435,7.5,10.0,2.5,3970,0,1.3,6628,41.6,9,49.0,0,1,6641,2,0.00
1466,7.6,10.0,2.4,3972,0,1.2,6626,42.3,9,49.0,0,1,6642,2,0.00
1482,7.5,10.0,2.5,3977,0,0.9,6690,42.1,9,49.0,0,1,6648,2,0.00
1498,7.4,10.0,2.6,3981,0,0.3,6690,42.0,9,49.0,0,1,6659,2,0.00
1513,7.3,10.0,2.7,3988,0,-0.9,6690,42.4,0,49.0,0,1,6683,2,0.00
1545,7.2,10.0,2.8,4004,0,-1.6,6626,42.4,2,49.0,0,1,6696,2,0.00
1561,7.1,10.0,2.9,4013,0,-2.3,6628,42.2,4,49.0,0,1,6710,2,0.00
1576,7.0,10.0,3.0,4021,0,-3.0,6691,42.6,6,49.0,0,1,6724,2,0.00
1591,7.0,10.0,3.0,4023,0,-3.3,6693,42.3,8,49.0,0,1,6730,2,0.00
1622,7.1,10.0,2.9,4022,0,-3.3,6631,42.3,9,49.0,0,1,6730,2,0.00
1638,7.1,10.0,2.9,4021,0,-3.1,6632,42.3,9,49.0,0,1,6725,2,0.00
1654,7.1,10.0,2.9,4019,0,-2.7,6634,42.6,9,49.0,0,1,6719,2,0.00
1696,7.1,10.0,2.9,4013,0,-2.3,6702,42.1,9,49.0,0,1,6711,2,0.00
1716,7.1,10.0,2.9,4010,0,-2.0,6702,42.4,9,49.0,0,1,6705,2,0.00
1716,7.0,10.0,3.0,4006,0,-1.4,6640,42.1,1,49.0,0,1,6697,2,0.00
1731,7.1,10.0,2.9,4001,0,-0.9,6641,42.1,3,49.0,0,1,6686,2,0.00
1824,7.1,10.0,2.9,4000,0,-0.9,6709,42.1,87,49.0,0,1,6686,2,0.00
1839,7.2,10.0,2.8,3996,0,-0.7,6709,42.4,9,49.0,0,1,6682,2,0.00
1855,7.1,10.0,2.9,3987,0,0.4,6644,42.4,1,49.0,0,1,6664,2,0.00
1886,6.9,10.0,3.1,3992,1,0.1,6643,43.2,3,49.0,0,1,6671,2,0.00
1901,6.9,10.0,3.1,3993,1,-0.1,6708,42.2,5,49.0,0,1,6675,2,0.00
1916,6.9,10.0,3.1,3995,1,-0.4,6708,42.5,7,49.0,0,1,6680,2,0.00
1947,6.9,10.0,3.1,3996,1,-0.4,6643,42.8,9,49.0,0,1,6680,2,0.00
1963,6.9,10.0,3.1,3999,1,-0.5,6643,42.4,9,49.0,0,1,6682,2,0.00
1979,6.8,10.0,3.2,4003,1,-0.7,6708,42.7,9,49.0,0,1,6686,2,0.00
2010,6.9,10.0,3.1,4001,1,-0.7,6708,42.4,9,49.0,0,1,6687,2,0.00
2025,6.8,10.0,3.2,4002,1,-0.9,6708,42.9,9,49.0,0,1,6691,2,0.00
2041,6.6,10.0,3.4,4007,1,-1.7,6644,42.7,0,49.0,0,1,6710,2,0.00
2056,6.6,10.0,3.4,4021,1,-2.1,6644,42.3,2,49.0,0,1,6717,2,0.00
2087,6.6,10.0,3.4,4018,1,-2.2,6709,43.0,4,46.7,0,1,6716,2,0.00
2102,6.8,10.0,3.2,4010,1,-1.6,6711,42.4,6,46.7,0,1,6705,2,0.00
2118,6.7,10.0,3.3,4010,1,-1.4,6647,43.0,8,46.7,0,1,6702,2,0.00
2148,6.7,10.0,3.3,4010,1,-1.2,6648,42.8,9,46.7,0,1,6700,2,0.00
2164,6.5,10.0,3.5,4014,1,-1.5,6712,43.0,9,46.7,0,1,6708,2,0.00
2180,6.5,10.0,3.5,4012,1,-1.6,6714,42.3,9,46.7,0,1,6707,2,0.00
2195,6.6,10.0,3.4,4009,1,-1.4,6651,42.7,9,46.7,0,1,6704,2,0.00
2226,6.7,10.0,3.3,4004,1,-0.8,6650,42.6,9,46.7,0,1,6693,2,0.00
2241,6.8,10.0,3.2,3993,1,0.3,6651,42.0,1,46.7,0,1,6672,2,0.00
2319,6.8,10.0,3.2,3991,1,0.3,6717,42.0,85,46.7,0,1,6672,2,0.00
2350,6.9,10.0,3.1,3990,1,0.4,6651,42.2,9,46.7,0,1,6668,2,0.00
2366,7.1,10.0,2.9,3980,0,1.4,6650,42.2,9,46.7,0,1,6648,2,0.00
2381,7.1,10.0,2.9,3968,0,3.0,6714,42.6,1,46.7,0,1,6619,2,0.00
2411,7.1,10.0,2.9,3960,0,3.1,6714,42.3,3,46.7,0,1,6617,2,0.00
2427,7.0,10.0,3.0,3960,0,3.0,6712,42.3,4,46.7,0,1,6621,2,0.00
2443,7.1,10.0,2.9,3963,0,2.8,6645,42.4,6,46.7,0,1,6623,2,0.00
2458,7.1,10.0,2.9,3967,0,2.5,6645,42.5,8,46.7,0,1,6629,2,0.00
2489,7.0,10.0,3.0,3970,0,2.1,6706,41.7,9,46.7,0,1,6637,2,0.00
2504,7.1,10.0,2.9,3970,0,1.9,6705,42.0,9,46.7,0,1,6640,2,0.00
2520,7.3,10.0,2.7,3970,0,2.0,6638,42.4,9,46.7,0,1,6636,2,0.00
2550,7.4,10.0,2.6,3967,0,2.3,6638,41.8,9,46.7,0,1,6629,2,0.00
2566,7.4,10.0,2.6,3966,0,2.4,6700,42.2,0,46.7,0,1,6627,2,0.00
2581,7.4,10.0,2.6,3967,0,2.2,6700,42.1,2,46.7,0,1,6631,2,0.00
2612,7.3,10.0,2.7,3971,0,1.8,6699,42.3,4,46.7,0,1,6640,2,0.00
2628,7.3,10.0,2.7,3978,0,1.2,6634,42.1,5,46.7,0,1,6651,2,0.00
2644,7.3,10.0,2.7,3985,0,0.7,6631,41.6,7,46.7,0,1,6659,2,0.00
2659,7.5,10.0,2.5,3981,0,0.8,6696,41.4,9,46.7,0,1,6656,2,0.00
2691,7.7,10.0,2.3,3974,0,1.3,6694,42.1,9,46.7,0,1,6645,2,0.00
2705,7.8,10.0,2.2,3967,0,1.9,6629,41.7,9,46.7,0,1,6632,2,0.00
2720,7.8,10.0,2.2,3965,0,2.3,6629,41.2,9,46.7,0,1,6626,2,0.00
2751,7.9,10.0,2.1,3961,0,2.7,6693,41.3,9,46.7,0,1,6618,2,0.00
2828,8.0,10.0,2.0,3948,0,3.3,6685,41.2,73,46.7,0,1,6604,2,0.00
2844,8.2,10.0,1.8,3948,0,3.4,6621,41.2,8,46.7,0,1,6602,2,0.00
2875,8.2,10.0,1.8,3948,0,3.5,6618,41.1,9,46.7,0,1,6599,2,0.00
2891,8.2,10.0,1.8,3950,0,3.4,6680,41.6,9,46.7,0,1,6601,2,0.00
2906,8.4,10.0,1.6,3949,0,3.2,6678,40.8,0,46.7,0,1,6603,2,0.00
2937,8.5,10.0,1.5,3946,0,3.3,6677,41.0,2,46.7,0,1,6600,2,0.00
2952,8.5,10.0,1.5,3946,0,3.3,6610,41.4,4,46.7,0,1,6600,2,0.00
2967,8.5,10.0,1.5,3950,0,3.0,6610,40.7,6,46.7,0,1,6605,2,0.00
2983,8.6,10.0,1.4,3950,0,2.8,6674,40.5,7,46.7,0,1,6608,2,0.00
3014,8.7,10.0,1.3,3946,0,2.9,6671,40.5,9,46.7,0,1,6603,2,0.00
3029,8.9,10.0,1.1,3939,0,3.3,6605,40.3,9,46.7,0,1,6594,2,0.00
3044,9.0,10.0,1.0,3937,0,3.7,6605,40.6,9,46.7,0,1,6588,2,0.00
3075,8.9,10.0,1.1,3940,0,3.7,6603,41.0,9,46.7,0,1,6588,2,0.00
3105,8.9,10.0,1.1,3941,0,3.4,6666,40.6,9,47.6,0,1,6594,2,0.00
3105,8.9,10.0,1.1,3951,0,2.4,6665,40.8,1,47.6,0,1,6612,2,0.00
3137,8.9,10.0,1.1,3958,0,1.8,6600,40.2,3,47.6,0,1,6622,2,0.00
3152,8.9,10.0,1.1,3963,0,1.5,6600,40.4,5,47.6,0,1,6627,2,0.00
