t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
13,0.1,0,0,0,47.3,2
17,0,0,0,0,47.1,68
17,0.3,0,0,0,46.7,3
17,0.1,0,0,0,46.9,184
17,0,0,0,0,46.9,3
17,0.1,0,0,0,46.2,0
17,0.4,0,0,0,46.8,70
17,0.3,0,0,0,46.6,5
17,0.4,0,0,0,46.7,71
17,0.4,0,0,0,47.2,6
17,0.4,0,0,0,46.7,64
18,0.2,0,0,0,46.7,17
18,0.2,0,0,0,46.8,73
18,0.4,0,0,0,46.3,8
18,0.3,0,0,0,47.3,74
18,0,4150,0,0,47.1,9
18,0.1,4150,0,0,46.6,211
18,0.2,4150,0,0,46.6,1
18,0.3,4150,0,0,46.8,9
18,0.3,4150,0,0,46.5,65
18,0.1,4150,0,0,47,0
18,0,4150,0,0,46.5,66
18,0.1,4150,0,0,47,1
18,0.1,4150,0,0,46.8,59
18,0.2,4150,0,0,47.3,12
18,0.2,4150,0,0,46.9,68
18,0.2,4150,0,0,46.4,3
18,0.4,4150,0,0,46.9,69
18,0.2,4150,0,0,47.2,4
18,0.1,4150,0,0,46.5,70
18,0.1,4150,0,0,47.3,5
18,0,4150,0,0,47.3,63
18,0,4150,0,0,46.8,16
18,0.1,4150,0,0,46.3,64
18,0.2,4150,0,0,47,17
18,0.1,4150,0,0,46.8,65
18,0.4,4150,0,0,46.9,1
18,0.4,4150,0,0,46.5,73
18,0.3,4150,0,0,46.8,8
18,0.1,4150,0,0,46.8,74
18,0.3,4150,0,0,46.6,9
18,0.4,4150,0,0,46.6,75
18,0.2,4150,0,0,47,10
18,0.1,4150,0,0,46.8,76
18,0.5,4150,0,0,47.1,11
18,0.4,4150,0,0,47.2,77
18,0.2,4150,0,0,46.9,12
18,0.2,4150,0,0,46.5,77
18,0.2,4150,0,0,46.2,13
18,0.2,4150,0,0,46.9,53
18,0.3,4150,0,0,46.5,6
18,0.1,4150,0,0,46.7,53
18,0.1,4150,0,0,46.4,6
18,0,4150,0,0,46.3,62
18,0.2,4150,0,0,47.4,15
18,0.3,4150,0,0,47.4,63
18,0.2,4150,0,0,47.3,16
18,0,4150,0,0,46.8,64
18,0.5,4150,0,0,47.3,17
18,0.2,4150,0,0,46.8,64
18,0.6,4150,0,0,47.5,0
18,0.3,4150,0,0,46.8,57
18,0.2,4150,0,0,47,11
18,0.1,4150,0,0,47,66
18,0.2,4150,0,0,46.8,1
18,0,4150,0,0,46.5,59
18,0.3,4150,0,2841,47.5,12
18,0.1,4150,0,3473,46.8,60
18,0.2,4150,0,4206,46.7,13
18,0.2,4150,0,4922,46.9,69
18,0.1,4150,0,5125,46.5,4
18,0.2,4150,0,5462,47,70
18,0.1,4150,0,5558,47.5,5
18,0.1,4150,0,5784,46.6,63
18,0.3,4150,0,5889,46.6,17
258,0.1,4310,-2.4,6237,47.1,200
353,0,4350,-1.9,6269,46.6,74
432,0.1,4365,0.3,6421,46.8,3
542,0.3,4354,2.4,6537,46.2,86
621,0.3,4366,0.3,6535,46.2,3
747,0.3,4365,0.7,6688,46.5,87
827,0.1,4378,-1,6737,46.9,4
951,0.1,4376,-0.6,6738,47.1,88
1029,0.6,4361,2.3,6776,46,5
1156,0.9,4350,4.1,6888,46.6,89
1233,1.7,4330,7.3,6912,44.8,5
1343,2.3,4311,10.3,6933,44.1,89
1421,4.7,4251,18.7,6934,41.7,6
1548,5.4,4247,18.5,6926,40.5,90
1627,9.4,4150,32.1,6914,36.6,7
1754,11,4150,29.3,6872,35.3,73
1832,14.1,4150,28,6850,32.6,8
1942,14.9,4162,20.5,6753,30.4,74
2035,21.2,4150,49.8,6735,23.4,9
2144,24.1,4150,48.7,6781,21.2,75
2223,30.2,4150,54.7,6768,15.4,11
2335,31.8,4150,38.1,6758,14,63
2415,35.6,4150,43.6,6749,11.2,17
2542,36.8,4150,24.3,6675,9.2,66
2622,40.6,4150,31.8,6666,6.9,2
2734,40.7,4150,14.8,6718,6,68
2814,40.9,4150,4,6644,6.2,5
2922,40.7,4150,-0.5,6705,6.6,63
3001,39.3,4150,-11.6,6705,8.1,0
3141,38.8,4150,-9.3,6656,8.3,74
3221,37.5,4150,-12.1,6729,9.7,11
