t_ms,H,T,E,P,M,D,R,RAW,A,F,PRE,CAS,RS,CM,FH
1310,2.6,15.0,12.4,4100,1,0.0,6263,46.6,8,49.0,0,1,7200,2,0.00
1326,2.6,15.0,12.4,4100,1,0.0,6276,46.5,9,49.0,0,1,7200,2,0.00
1404,2.7,15.0,12.3,4100,1,0.0,6327,47.3,69,49.0,0,1,7200,2,0.00
1421,2.5,15.0,12.5,4100,1,0.0,6280,46.6,1,49.0,0,1,7200,2,0.00
1452,2.5,15.0,12.5,4100,1,0.0,6291,47.5,3,49.0,0,1,7200,2,0.00
1467,2.4,15.0,12.6,4100,1,0.0,6301,47.1,5,49.0,0,1,7200,2,0.00
1483,2.3,15.0,12.7,4100,1,0.0,6313,46.9,7,49.0,0,1,7200,2,0.00
1499,2.2,15.0,12.8,4100,1,0.0,6387,46.2,9,49.0,0,1,7200,2,0.00
1530,2.4,15.0,12.6,4100,1,0.0,6397,46.6,9,49.0,0,1,7200,2,0.00
1560,2.7,15.0,12.3,4100,1,0.0,6407,46.3,9,49.0,0,1,7200,2,0.00
1560,2.8,15.0,12.2,4100,1,0.0,6417,46.6,9,49.0,0,1,7200,2,0.00
1591,2.8,15.0,12.2,4100,1,0.0,6366,47.0,9,49.0,0,1,7200,2,0.00
1606,2.4,15.0,12.6,4100,1,0.0,6376,47.1,0,49.0,0,1,7200,2,0.00
1622,2.3,15.0,12.7,4100,1,0.0,6384,46.3,2,49.0,0,1,7200,2,0.00
1638,2.4,15.0,12.6,4100,1,0.0,6393,46.7,4,49.0,0,1,7200,2,0.00
1668,2.5,15.0,12.5,4100,1,0.0,6466,46.8,6,49.0,0,1,7200,2,0.00
1684,2.6,15.0,12.4,4100,1,0.0,6475,46.7,8,49.0,0,1,7200,2,0.00
1716,2.5,15.0,12.5,4100,1,0.0,6483,47.2,9,49.0,0,1,7200,2,0.00
1730,2.5,15.0,12.5,4100,1,0.0,6430,46.9,9,49.0,0,1,7200,2,0.00
1746,2.4,15.0,12.6,4100,1,0.0,6437,46.3,9,49.0,0,1,7200,2,0.00
1761,2.4,15.0,12.6,4100,1,0.0,6446,46.7,9,49.0,0,1,7200,2,0.00
1792,2.6,15.0,12.4,4100,1,0.0,6453,46.4,9,49.0,0,1,7200,2,0.00
1807,2.6,15.0,12.4,4100,1,0.0,6523,46.8,1,49.0,0,1,7200,2,0.00
1822,2.5,15.0,12.5,4100,1,0.0,6530,46.9,3,49.0,0,1,7200,2,0.00
1900,2.5,15.0,12.5,4100,1,0.0,6558,46.6,65,49.0,0,1,7200,2,0.00
1931,2.4,15.0,12.6,4100,1,0.0,6565,47.0,9,49.0,0,1,7200,2,0.00
1946,2.5,15.0,12.5,4100,1,0.0,6571,46.7,9,49.0,0,1,7200,2,0.00
1962,2.5,15.0,12.5,4100,1,0.0,6516,46.6,9,49.0,0,1,7200,2,0.00
1978,2.4,15.0,12.6,4100,1,0.0,6518,47.1,0,49.0,0,1,7200,2,0.00
2008,2.3,15.0,12.7,4100,1,0.0,6524,46.3,2,49.0,0,1,7200,2,0.00
2024,2.2,15.0,12.8,4100,1,0.0,6594,47.0,4,50.0,0,1,7200,2,0.00
2039,2.3,15.0,12.7,4100,1,0.0,6599,46.7,6,50.0,0,1,7200,2,0.00
2070,2.5,15.0,12.5,4100,1,0.0,6605,46.7,8,50.0,0,1,7200,2,0.00
2086,2.6,15.0,12.4,4100,1,0.0,6545,47.2,9,50.0,0,1,7200,2,0.00
2102,2.4,15.0,12.6,4100,1,0.0,6551,47.2,9,50.0,0,1,7200,2,0.00
2117,2.2,15.0,12.8,4100,1,0.0,6622,47.3,9,50.0,0,1,7200,2,0.00
2149,2.0,15.0,13.0,4100,1,0.0,6625,47.3,9,50.0,0,1,7200,2,0.00
2164,2.0,15.0,13.0,4100,1,0.0,6629,46.3,9,50.0,0,1,7200,2,0.00
2180,2.3,15.0,12.7,4100,1,0.0,6571,46.2,1,50.0,0,1,7200,2,0.00
2211,2.4,15.0,12.6,4100,1,0.0,6576,47.0,3,50.0,0,1,7200,2,0.00
2226,2.7,15.0,12.3,4100,1,0.0,6644,46.4,5,50.0,0,1,7200,2,0.00
2242,2.6,15.0,12.4,4100,1,0.0,6647,46.5,7,50.0,0,1,7200,2,0.00
2257,2.8,15.0,12.2,4100,1,0.0,6651,47.1,9,50.0,0,1,7200,2,0.00
2289,2.7,15.0,12.3,4100,1,0.0,6591,46.7,9,50.0,0,1,7200,2,0.00
2304,2.6,15.0,12.4,4100,1,0.0,6596,46.7,9,50.0,0,1,7200,2,0.00
2320,2.6,15.0,12.4,4100,1,0.0,6666,46.9,9,50.0,0,1,7200,2,0.00
2398,2.5,15.0,12.5,4100,1,0.0,6616,46.8,69,50.0,0,1,7200,2,0.00
2430,2.5,15.0,12.5,4100,1,0.0,6684,46.8,6,50.0,0,1,7200,2,0.00
