t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
8,0,0,2.5,0,46.9,4
12,0.2,0,2.5,0,47.2,77
12,0.3,0,2.5,0,47.5,12
12,0.1,0,2.5,0,46.8,201
12,0.4,0,2.5,0,46.4,2
12,0.1,0,2.5,0,46.9,17
12,0.2,0,2.5,0,47.1,54
12,0,0,2.5,0,47.3,8
12,0.2,0,2.5,0,46.6,54
12,0.1,0,2.5,0,46.8,7
12,0.1,0,2.5,0,47.1,63
12,0.1,0,2.5,0,47,16
12,0.4,0,2.5,0,46.8,64
12,0.4,3400,2.5,0,46.7,17
12,0.1,3400,2.5,0,46.8,201
12,0.2,3400,2.5,0,46.8,9
12,0.2,3400,2.5,0,46.6,17
12,0,3400,2.5,0,47.1,72
12,0.1,3400,2.5,0,46.9,7
12,0.2,3400,2.5,0,46.7,73
12,0.1,3400,2.5,0,46.9,8
12,0.2,3400,2.5,0,46.6,67
12,0,3400,2.5,0,46,2
12,0.3,3400,2.5,2409,46.7,75
12,0.2,3400,2.5,3409,46.9,10
12,0,3400,2.5,4251,46.6,76
12,0.3,3400,2.5,4568,46.8,11
12,0.2,3400,2.5,4939,46.9,76
12,0.1,3400,2.5,5111,46.8,12
12,0.2,3400,2.5,5245,46.5,69
12,0.4,3400,2.5,5352,46.8,4
12,0,3400,2.5,5504,46.8,60
12,0.1,3400,2.5,5576,46.4,13
12,0.4,3400,2.5,5735,47,61
12,0.4,3400,2.5,5737,46.9,14
12,0.1,3400,2.5,5819,46.6,61
12,0.2,3400,2.5,5918,47,15
12,0,3400,2.5,5980,47.2,62
12,0.1,3400,2.5,6016,46.9,16
12,0.1,3400,2.5,6061,47,55
12,0.1,3400,2.5,6091,46.8,9
12,0.2,3400,2.5,6137,46.9,64
12,0,3400,2.5,6103,46.4,17
12,0.2,3400,2.5,6134,47,65
12,0.1,3400,2.5,6215,47,0
12,0,3400,2.5,6179,47.5,66
12,0,3400,2.5,6193,46.7,1
12,0.1,3400,2.5,6273,47.1,66
12,0.1,3400,2.5,6224,46.9,2
12,0.1,3400,2.5,6301,46.8,67
12,0,3400,2.5,6250,47.3,2
12,0.1,3400,2.5,6326,46.9,68
12,0.1,3400,2.5,6333,46.8,3
12,0.1,3400,2.5,6347,46.8,61
12,0.1,3400,2.5,6294,47.5,14
12,0.2,3400,2.5,6370,47.2,69
12,0.2,3400,2.5,6317,46.9,5
12,0.1,3400,2.5,6393,47.2,70
13,0,3400,2.5,6337,47.2,5
13,0.1,3400,2.5,6346,46.7,64
13,0.3,3400,2.5,6412,47.1,17
13,0.1,3400,2.5,6359,46.8,72
13,0.2,3400,2.5,6426,47.3,7
