t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
16,0,0,2.3,0,47,74
21,0.1,0,2.3,0,47.1,10
21,0.1,0,2.3,0,47.3,190
21,0.1,0,2.3,0,47.2,2
21,0.3,0,2.3,0,46.7,6
21,0.1,0,2.3,0,47,73
21,0.5,0,2.3,0,46.5,12
21,0.3,0,2.3,0,46.7,60
21,0.2,0,2.3,0,46.8,13
21,0.2,0,0,0,46.7,61
21,0.4,0,0,0,46,14
22,0.3,0,0,0,47,62
22,0,0,0,0,47,15
22,0.2,0,0,0,46.6,63
22,0.3,0,0,0,46.2,16
22,0.3,0,0,0,46.7,56
22,0.1,0,0,0,46.7,9
22,0.2,0,0,0,46.9,57
22,0.2,0,0,0,47,10
22,0,4000,0,0,46.8,201
22,0.1,4000,0,0,47,10
22,0.1,4000,0,0,47,18
22,0.2,4000,0,0,46.8,74
22,0.1,4000,0,0,46.8,9
22,0.4,4000,0,0,46.4,75
22,0.1,4000,0,0,46.9,10
22,0.1,4000,0,0,47.1,76
22,0,4000,0,0,47.1,11
22,0.1,4000,0,0,46.9,70
22,0.2,4000,0,0,46.7,5
22,0.2,4000,0,0,47.2,60
22,0,4000,0,0,47.3,13
22,0.4,4000,0,0,46.7,61
22,0.1,4000,0,0,46.6,14
22,0.4,4000,0,0,47.2,55
22,0.2,4000,0,0,46.7,8
22,0.2,4000,0,0,46.9,63
22,0.1,4000,0,0,47.3,16
22,0.1,4000,0,0,47.3,64
22,0,4000,0,0,46.8,17
22,0.3,4000,0,954,46.9,64
22,0.3,4000,0,2655,47.4,0
22,0.1,4000,0,3978,46.7,65
22,0.3,4000,0,4469,46.6,0
22,0.2,4000,0,4946,47.3,66
22,0.4,4000,0,5089,46.5,1
22,0.3,4000,0,5374,46.8,67
22,0.2,4000,0,5451,46.8,2
22,0.1,4000,0,5603,47,68
58,0.1,4296,-0.1,5750,46.8,3
308,0.1,4309,-0.2,6186,46.9,198
387,0.1,4308,0,6287,47.1,6
466,0,4322,-0.4,6318,47,14
593,0,4307,-0.4,6501,46.8,85
671,0.2,4308,0.7,6500,46.5,2
797,0.1,4303,0.6,6648,47.1,86
875,0.1,4305,-0.3,6623,47,3
986,0,4284,-0.3,6747,47.1,86
1063,0.1,4274,0.2,6779,46.9,4
1188,0.3,4271,1,6749,46.6,87
1266,0.7,4254,2.4,6765,46.3,4
1391,0.9,4226,2.9,6850,45.8,88
1470,2.3,4185,7,6790,44.7,5
1594,2.5,4168,7.9,6850,44.3,89
1674,4.2,4137,10.1,6843,41.9,6
1783,5,4123,12,6756,41.3,90
1876,7.4,4089,14.1,6741,38.6,7
1986,8.6,4038,17.3,6775,38,73
2063,11.1,4016,17.4,6750,35.2,8
2188,11.9,4015,17.8,6645,34.9,74
2264,13.6,4031,13,6622,33.2,10
2388,14.1,4032,11.6,6599,33.1,76
2467,16.4,4004,13,6587,29.9,11
2592,17.3,3979,15.2,6623,29.1,77
2670,19.2,3978,13.1,6543,27.6,12
2795,20,3968,13.2,6520,26.3,78
2874,21.7,3945,12.6,6504,24.9,13
2998,22.5,3944,13.3,6485,24.6,79
3075,23,3961,7.8,6538,24.3,15
3186,23,3978,4.9,6530,23.6,80
3265,22.2,4040,-1.9,6465,24.6,16
3389,22,4055,-4,6541,25.1,82
3467,20.7,4084,-7.2,6487,26,17
3590,20,4105,-9.7,6514,26.9,82
3668,18.5,4097,-10,6531,28.6,0
3795,18.4,4114,-9.7,6557,28.8,83
3873,17.1,4098,-8.4,6637,30.3,1
3996,16.9,4111,-8.1,6593,30.3,85
4074,16.1,4087,-6,6603,31.2,2
4183,15.9,4098,-5.6,6613,31.4,86
4278,15.3,4086,-3.6,6619,32.4,4
4389,14.7,4099,-5.4,6693,32.6,88
4468,14.6,4082,-2.8,6629,32.7,5
4608,14.5,4064,-2.3,6694,32.4,89
4671,15.3,4038,2.7,6690,31.2,6
4796,15.7,4005,4.9,6678,31.5,90
4875,16.1,4006,4,6666,30.7,8
4983,16.3,4004,3.7,6590,30.9,74
5077,16.8,4000,3.5,6647,30.1,9
5185,16.9,3995,3.6,6576,30.1,75
5278,17.1,4004,1.7,6638,29.8,11
5386,17.1,4004,1.4,6568,29.8,76
5464,17.2,4008,0.5,6632,30,12
5588,17,4014,-0.5,6570,30.3,78
5664,17,4013,-0.6,6635,30.9,13
5788,16.3,4028,-2.6,6576,30.3,79
5867,16.3,4026,-2.3,6644,30.3,15
5991,16,4039,-2.4,6584,31.4,81
6069,15.9,4024,-2.1,6650,30.9,16
6179,16,4023,-0.3,6587,31.1,75
