t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
11,0,0,1.7,0,46.5,9
15,0,0,1.7,0,46.6,57
15,0,0,1.7,0,47,11
15,0,0,1.7,0,46.4,181
15,0,0,1.7,0,46.5,3
15,0,0,1.7,0,46.3,15
15,0,0,1.7,0,46.2,59
15,0,0,1.7,0,46.7,12
15,0,0,1.7,0,46.8,60
15,0,0,0,0,46.8,13
15,0,0,0,0,46.6,61
15,0,0,0,0,47,14
15,0,0,0,0,46.3,63
15,0,0,0,0,46.9,16
15,0,0,0,0,46.4,63
15,0,0,0,0,46.5,16
15,0,0,0,0,46.7,63
15,0,0,0,0,46,17
15,0,0,0,0,46.7,64
15,0,0,0,0,46.9,18
15,0,0,0,0,46.8,68
15,0,4000,0,0,46.5,3
15,0,4000,0,0,46.7,205
15,0,4000,0,0,46.5,14
15,0,4000,0,0,46.3,3
15,0,4000,0,0,46.8,53
15,0,4000,0,0,46.8,6
15,0,4000,0,0,46.9,54
15,0,4000,0,0,46.6,7
15,0,4000,0,0,46.2,55
15,0,4000,0,0,46.8,8
15,0,4000,0,0,46.6,56
15,0,4000,0,0,46.6,9
15,0,4000,0,0,46.6,57
15,0,4000,0,0,46.8,10
16,0,4000,0,0,46.5,58
16,0,4000,0,0,46.6,11
16,0,4000,0,0,46.8,60
16,0,4000,0,0,46.2,13
16,0,4000,0,0,46.9,59
16,0,4000,0,0,46.5,13
16,0,4000,0,0,46.1,60
16,0,4000,0,0,46.5,14
16,0,4000,0,0,46.3,61
16,0,4000,0,0,46.9,15
16,0,4000,0,0,46.8,62
16,0,4000,0,0,46.6,16
16,0,4000,0,0,46.8,63
16,0,4000,0,0,46.8,17
16,0,4000,0,0,46.8,64
16,0,4000,0,2095,46.7,17
16,0,4000,0,3658,46.1,65
73,0,4400,0,4340,47.3,0
347,0,4393,0,5625,46.7,210
425,0,4382,0,5884,46.8,1
502,0,4382,0,6059,46.6,8
626,0,4379,0,6265,46.4,72
702,0,4388,0,6317,46.2,7
812,0,4371,0,6450,46.4,72
904,0,4367,0,6586,46.8,8
1013,0,4357,0,6625,46.9,73
1091,0,4349,0,6749,46.1,8
1214,0,4348,0,6830,46.4,74
1292,0,4339,0,6872,46.6,9
1417,0,4323,0,6857,46.6,75
1494,0,4314,0,6952,46.4,10
1618,0,4298,0,6915,46.2,76
1694,0,4276,0,6996,45.1,11
1818,0,4276,0,7006,43.7,76
1895,0.8,4237,2.1,7006,41.6,12
2020,1.9,4192,6,6993,40.1,85
2097,6.1,4075,18.8,6978,35.9,2
2221,7,4020,23.9,6930,35,86
2299,10.2,3982,25.3,6893,32.7,3
2424,10.7,3975,24,6833,30.7,87
2501,17.1,3900,29.2,6798,24.1,4
2624,18.8,3900,34.1,6669,22.5,88
2702,24.6,3900,37.4,6696,17.2,5
2811,25.7,3900,38.4,6648,16.5,76
2889,28.9,3900,28.5,6619,13,12
3013,30.6,3900,23.2,6577,12.3,60
3092,31.8,3941,15,6493,11.1,14
3218,31.8,3964,7.9,6548,10.7,75
3298,32.4,3993,2.1,6548,10.6,11
3422,32.4,4000,0,6558,10.8,77
3500,31.9,4026,-2.3,6501,11.2,14
3624,31.7,4029,-3.5,6580,11.4,80
3702,30.9,4040,-5,6524,12.6,16
3824,30.2,4050,-6.6,6541,13.6,82
3903,28.5,4074,-9.3,6553,15.1,17
4026,27.9,4087,-11.3,6574,15.6,83
4103,26.8,4081,-9.6,6589,16.3,1
4225,26.8,4066,-8.2,6605,16.2,85
4301,25.3,4061,-6.6,6612,17.6,2
4423,25.2,4045,-6.8,6685,17.8,85
4501,24.2,4056,-6,6622,18.9,3
4625,24.1,4038,-5.8,6691,18.5,87
4701,24,4014,-2.5,6691,19,4
4824,24,4001,-1.3,6687,19.5,88
4901,24.1,3990,-0.1,6683,19.1,5
5024,24.3,3988,1.3,6605,18.7,89
