t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
9,0.1,0,-0.3,0,47.2,15
12,0.1,0,-0.3,0,46.9,62
13,0.2,0,-0.3,0,46.7,15
13,0,0,-0.3,0,47,187
13,0,0,-0.3,0,47.4,3
13,0.2,0,-0.3,0,47.7,3
13,0,0,-0.3,0,47.4,64
13,0.1,0,-0.3,0,47,17
13,0,0,-0.3,0,46.6,65
13,0,0,0,0,46.8,0
13,0.2,0,0,0,47.3,74
13,0.1,0,0,0,47,9
13,0,0,0,0,47.3,75
13,0,0,0,0,46.9,10
13,0.1,0,0,0,47.1,68
13,0.1,0,0,0,46.7,2
13,0.1,0,0,0,46.8,69
13,0,0,0,0,47.1,6
13,0,0,0,0,47,70
13,0.3,4000,0,0,47.1,5
13,0,4000,0,0,47.1,190
13,0,4000,0,0,46.9,15
13,0,4000,0,0,46.7,6
13,0,4000,0,0,46.6,54
13,0.3,4000,0,0,46.6,7
13,0.1,4000,0,0,47,55
13,0.3,4000,0,0,47,8
13,0.1,4000,0,0,47.3,56
13,0,4000,0,0,46.9,9
13,0.2,4000,0,0,46.8,64
13,0.1,4000,0,1382,47.3,18
13,0,4000,0,3551,46.7,65
13,0.2,4000,0,4161,47.2,0
13,0,4000,0,4666,46.9,59
13,0,4000,0,4962,46.7,12
13,0,4000,0,5235,47.1,59
13,0.2,4000,0,5382,47,12
13,0.3,4000,0,5578,47.3,68
13,0,4000,0,5673,47,3
13,0.1,4000,0,5747,46.5,68
13,0.1,4000,0,5822,46.9,4
13,0.1,4000,0,5910,47,61
13,0,4000,0,5966,47.2,14
13,0,4000,0,6038,46.3,62
13,0,4000,0,6081,47,15
13,0,4000,0,6200,47,63
13,0,4000,0,6234,47.3,16
13,0,4000,0,6218,47,64
13,0,4000,0,6306,47,17
215,0,4199,0,6464,46.7,202
293,0.2,4212,0.1,6520,47.4,1
385,0,4209,-0.2,6501,47,18
495,0,4202,-0.3,6563,46.9,81
574,0,4178,-0.2,6659,47.1,17
696,0.3,4180,0.8,6635,47,89
790,0.3,4160,0.5,6721,46.7,6
898,0.2,4177,0.2,6681,46.7,90
990,0.9,4149,2.8,6693,45.7,7
1100,1.1,4117,3.6,6768,45.9,74
1178,2.1,4090,5.9,6768,44.9,9
1304,2.3,4105,5.9,6699,43.9,74
1381,4.2,4041,9.8,6694,42.7,9
1507,4.4,4038,9.7,6744,42.4,75
1584,6.2,4034,11,6732,40.3,10
1708,6.7,4009,11,6712,39.5,76
1786,8.7,3981,12.6,6700,38.2,11
1896,9.3,3998,12.5,6607,37.8,77
1989,10.8,3982,10.5,6657,35.9,12
2098,11.4,3997,10.4,6576,35,78
2190,12.8,3977,9.3,6628,33.5,13
2299,13.2,3996,8.7,6550,33.4,79
2390,13.5,4004,4.7,6610,33.2,14
2499,13.8,4026,3.9,6544,33.1,80
2577,14.5,4000,4.2,6607,32.7,16
2700,14.6,4020,3.8,6541,32.4,81
2779,15.3,3995,4,6603,31.1,17
2901,16,3973,6.1,6599,31,83
2980,17,3964,6.6,6594,30.3,0
