t_ms,H_cm,T_cm,E_cm,P,M,D_cms,RPM,RAW_cm,age_ms,F,PRE,CAS,RS,CM,FH,TID,TIN,TST
9,2.7,15.0,0.9,0,0,-0.4,0,46.7,62,41.0,0,1,6642,2,0.00,0xEE,0,0
13,2.6,15.0,0.9,0,0,-0.4,0,46.8,15,41.0,0,1,6642,2,0.00,0xEE,0,0
13,2.6,15.0,0.9,0,0,-0.4,0,46.8,63,41.0,0,1,6642,2,0.00,0xEE,0,0
13,2.6,15.0,0.9,0,0,-0.4,0,46.3,16,41.0,0,1,6642,2,0.00,0xEE,0,0
13,2.5,15.0,0.9,0,0,-0.4,0,46.7,180,41.0,0,1,6642,2,0.00,0xEE,0,0
13,2.6,15.0,0.9,0,0,-0.4,0,46.3,4,41.0,0,1,6642,2,0.00,0xEE,0,0
13,2.6,15.0,0.9,0,0,-0.4,0,46.6,16,41.0,0,1,6642,2,0.00,0xEE,0,0
13,2.6,15.0,0.9,0,0,-0.4,0,46.6,57,36.0,0,1,6642,2,0.00,0xEE,0,0
13,2.7,15.0,0.9,0,0,-0.4,0,45.8,11,36.0,0,1,6642,2,0.00,0xEE,0,0
13,2.5,15.0,0.9,0,0,-0.4,0,46.6,58,36.0,0,1,6642,2,0.00,0xEE,0,0
13,3.0,15.0,0.9,0,0,-0.4,0,46.9,11,36.0,0,1,6642,2,0.00,0xEE,0,0
13,2.4,15.0,0.9,0,0,-0.4,0,46.9,67,36.0,0,1,6642,2,0.00,0xEE,0,0
13,2.4,15.0,0.9,0,0,-0.4,0,46.9,2,36.0,0,1,6642,2,0.00,0xEE,0,0
13,2.7,15.0,0.9,0,0,-0.4,0,46.2,68,36.0,0,1,6642,2,0.00,0xEE,0,0
13,2.7,15.0,0.9,0,0,-0.4,0,46.8,3,36.0,0,1,6642,2,0.00,0xEE,0,0
13,2.5,15.0,0.9,0,0,-0.4,0,47.0,69,36.0,0,1,6642,2,0.00,0xEE,0,0
13,2.6,15.0,0.9,0,0,-0.4,0,46.7,7,36.0,0,1,6642,2,0.00,0xEE,0,0
13,2.5,15.0,0.9,0,0,-0.4,0,47.1,70,42.0,0,1,6642,2,0.00,0xEE,0,0
13,2.8,15.0,0.9,0,0,-0.4,0,46.6,5,42.0,0,1,6642,2,0.00,0xEE,0,0
13,2.7,15.0,0.9,0,0,-0.4,0,46.2,70,42.0,0,1,6642,2,0.00,0xEE,0,0
13,2.6,15.0,0.9,0,0,-0.4,0,46.8,6,42.0,0,1,6642,2,0.00,0xEE,0,0
13,2.6,15.0,0.9,0,0,-0.4,0,46.3,63,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,0,0,-0.4,0,46.8,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,0,0,-0.4,0,46.5,10,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,0,0,-0.4,0,46.3,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.8,15.0,0.9,0,0,-0.4,0,46.9,10,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,0,0,-0.4,0,46.8,1,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,1800,0,-0.4,0,46.6,2,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.5,15.0,0.9,1800,0,-0.4,0,46.8,4,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.2,6,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.5,15.0,0.9,1800,0,-0.4,0,46.9,8,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.5,15.0,0.9,1800,0,-0.4,0,47.0,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.4,15.0,0.9,1800,0,-0.4,0,46.4,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.3,15.0,0.9,1800,0,-0.4,0,47.2,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.4,15.0,0.9,1800,0,-0.4,0,46.6,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.4,15.0,0.9,1800,0,-0.4,0,46.9,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.5,15.0,0.9,1800,0,-0.4,0,46.9,1,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.4,3,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.4,5,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.8,15.0,0.9,1800,0,-0.4,0,46.5,7,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.8,15.0,0.9,1800,0,-0.4,0,46.8,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,1800,0,-0.4,0,46.7,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.4,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.9,9,42.0,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,1800,0,-0.4,0,46.3,189,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,47.0,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.3,15.0,0.9,1800,0,-0.4,0,46.8,1,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.3,15.0,0.9,1800,0,-0.4,0,46.7,3,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.4,15.0,0.9,1800,0,-0.4,0,46.7,5,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.5,15.0,0.9,1800,0,-0.4,0,46.9,7,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.7,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.5,15.0,0.9,1800,0,-0.4,0,46.9,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.5,15.0,0.9,1800,0,-0.4,0,46.7,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.5,15.0,0.9,1800,0,-0.4,0,46.7,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.7,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.2,0,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,1800,0,-0.4,0,46.3,2,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.8,15.0,0.9,1800,0,-0.4,0,47.0,4,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.8,15.0,0.9,1800,0,-0.4,0,46.9,6,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.5,15.0,0.9,1800,0,-0.4,0,47.1,8,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.3,15.0,0.9,1800,0,-0.4,0,47.2,60,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.2,15.0,0.9,1800,0,-0.4,0,46.5,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.3,15.0,0.9,1800,0,-0.4,0,46.6,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.5,15.0,0.9,1800,0,-0.4,0,47.1,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.7,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.5,9,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.6,0,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.6,15.0,0.9,1800,0,-0.4,0,46.3,2,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,1800,0,-0.4,0,46.6,4,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,1800,0,-0.4,0,46.6,5,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,1800,0,-0.4,0,46.6,7,38.1,0,1,6642,2,0.00,0xEE,0,0
14,2.7,15.0,0.9,1800,0,-0.4,0,46.7,9,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.7,15.0,0.9,1800,0,-0.4,0,46.5,9,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.7,15.0,0.9,1800,0,-0.4,0,46.6,9,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.7,15.0,0.9,1800,0,-0.4,0,46.6,9,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.7,15.0,0.9,1800,0,-0.4,0,46.9,9,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.4,15.0,0.9,1800,0,-0.4,0,47.0,1,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.3,15.0,0.9,1800,0,-0.4,0,46.9,3,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.3,15.0,0.9,1800,0,-0.4,0,46.7,4,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.3,15.0,0.9,1800,0,-0.4,0,47.1,6,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.4,15.0,0.9,1800,0,-0.4,0,46.6,8,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.5,15.0,0.9,1800,0,-0.4,0,46.4,9,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.6,15.0,0.9,1800,0,-0.4,0,46.8,69,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.7,15.0,0.9,1800,0,-0.4,0,46.4,1,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.7,15.0,0.9,1800,0,-0.4,0,46.4,3,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.8,15.0,0.9,1800,0,-0.4,0,46.6,5,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.9,15.0,0.9,1800,0,-0.4,0,46.4,7,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.8,15.0,0.9,1800,0,-0.4,0,47.0,9,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.6,15.0,0.9,1800,0,-0.4,0,47.0,9,38.1,0,1,6642,2,0.00,0xEE,0,0
15,2.4,15.0,0.9,1800,0,-0.4,0,46.8,9,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.3,15.0,0.9,1800,0,-0.4,0,46.6,9,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.5,15.0,0.9,1800,0,-0.4,0,46.5,9,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.6,15.0,0.9,1800,0,-0.4,0,46.9,0,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.5,15.0,0.9,1800,0,-0.4,0,46.8,2,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.4,15.0,0.9,1800,0,-0.4,0,46.3,4,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.5,15.0,0.9,1800,0,-0.4,0,46.7,6,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.5,15.0,0.9,1800,0,-0.4,0,47.0,8,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.6,15.0,0.9,1800,0,-0.4,0,46.1,9,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.5,15.0,0.9,1800,0,-0.4,539,46.8,9,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.5,15.0,0.9,1800,0,-0.4,539,46.8,9,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.5,15.0,0.9,1800,0,-0.4,841,46.7,9,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.5,15.0,0.9,1800,0,-0.4,841,46.9,9,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.6,15.0,0.9,1800,0,-0.4,1012,46.3,1,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.7,15.0,0.9,1800,0,-0.4,1134,46.7,3,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.8,15.0,0.9,1800,0,-0.4,1287,46.5,65,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.7,15.0,0.9,1800,0,-0.4,1329,46.6,9,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.7,15.0,0.9,1800,0,-0.4,1339,46.0,9,49.9,0,1,6642,2,0.00,0xEE,0,0
15,2.7,15.0,0.9,1800,0,-0.4,1372,46.9,9,49.9,0,1,6642,2,0.00,0xEE,0,0
