t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
10,2.2,0,0,0,47.1,5
14,2.3,0,0,0,47.1,71
14,2.7,0,0,0,46.9,6
166,2.5,0,0,0,47.3,195
386,2.4,3300,0,0,47,203
465,2.3,3300,0,0,47.5,15
543,2.3,3300,0,0,46.2,7
652,2.5,3300,0,0,47.2,64
731,2.4,3300,0,0,47.1,17
840,2.4,3300,0,0,46.2,57
919,2.4,3300,0,0,47.2,10
1057,2.3,3300,0,0,47.2,65
1135,2.5,3300,0,0,46.9,1
1243,2.4,3300,0,0,46.8,58
1321,2.4,3300,0,0,46.5,11
1458,2.6,3300,0,0,46.5,67
1534,2.5,3300,0,0,47.2,2
1659,2.4,3300,0,0,47.3,68
1737,2.3,3300,0,0,47.2,3
1844,2.4,3300,0,0,46.4,61
1921,2.6,3300,0,0,47.3,14
2059,2.3,3300,0,0,46.2,70
2135,2.3,3300,0,0,47.1,5
2245,2.4,3300,0,0,46.8,71
2337,2.5,3300,0,0,46.6,6
2446,2.6,3300,0,0,46.9,72
2539,2.3,3300,0,0,47,7
2649,2.4,3300,0,0,46.9,72
2726,2.4,3300,0,0,46.9,8
2850,2.1,3300,0,0,46.7,73
2928,2.5,3300,0,0,47.2,8
3054,2.3,3300,0,0,46.6,74
3132,2.6,3300,0,1020,46.3,9
3270,2.4,4100,0,3133,46.5,88
3347,2.4,4100,0,3895,46.5,5
3455,2.5,4100,0,4621,47.1,76
3532,2.3,4100,0,4996,47.1,11
3670,2.2,4100,0,5282,47.1,77
3733,2.4,4100,0,5449,47,12
3858,2.5,4100,0,5656,46.8,77
3935,2.5,4100,0,5777,46.7,13
4059,2.7,4100,0,5979,46.6,60
4134,2.6,4100,0,6061,47,13
4259,2.3,4100,0,6109,46.5,61
4335,2.4,4100,0,6167,46.5,14
4459,2.5,4100,0,6309,46.6,62
4537,2.7,4100,0,6293,46.3,15
4646,2.6,4100,0,6350,46.6,56
4722,2.4,4100,0,6450,46.9,9
4848,2.5,4100,0,6436,46.8,64
4926,2.6,4100,0,6530,46.7,17
5050,2.5,4100,0,6503,47.3,57
5127,2.5,4100,0,6587,47,10
5251,2.4,4100,0,6554,47,58
5328,2.4,4100,0,6638,46.6,12
5454,2.4,4100,0,6665,46.9,66
5530,2.4,4100,0,6680,47.1,1
5656,2.3,4100,0,6634,47.2,67
5749,2.4,4100,0,6647,46.8,2
5841,2.3,4100,0,6729,47.2,60
5919,2.2,4100,0,6671,46.9,13
6058,2.5,4100,0,6753,46.8,69
6136,2.8,4100,0,6758,46.1,4
6259,2.6,4100,0,6703,46.7,70
6336,3.2,4100,0,6709,46.4,5
6446,3.4,4100,0,6784,45.3,71
6539,3.4,4100,0,6793,45.8,6
6646,3.6,4100,0,6732,45.1,72
6738,4,4100,0,6737,45.4,7
6847,4,4100,0,6808,44.8,72
6939,4.8,4100,0,6811,44.5,8
7048,5.1,4100,0,6749,43.8,73
7125,6.1,4100,0,6749,43.2,9
7250,6.3,4100,0,6818,43.2,75
7329,7.7,4100,0,6750,41.3,10
7451,8.4,4100,0,6816,40.6,76
7529,10.1,3907,0.9,6816,38.3,11
7670,10.8,3850,5.5,6762,38.9,90
7748,12.8,3800,13.3,6717,36.6,7
7873,13.1,3800,15.5,6653,35.4,74
7950,15.8,3800,16.8,6610,33.7,9
8058,16.5,3800,16.3,6501,33.2,61
