t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
12,12.2,3980,0.5,6571,37.1,79
15,12.3,3971,1.5,6570,37.3,14
16,12.2,0,1.1,6127,37.5,196
16,12.1,1800,1.1,5689,38.3,199
16,10.1,1800,1.1,5590,43.7,8
16,4,1800,1.1,5447,46.7,5
16,3.2,1800,1.1,5242,45.9,62
16,2.5,1800,1.1,5102,46.3,15
16,2.6,1800,1.1,4863,46.9,63
16,2.3,1800,1.1,4780,47.5,16
16,2.4,1800,1.1,4544,47.2,64
16,2.3,1800,1.1,4427,46.9,17
16,2.2,1800,1.1,4301,46.9,65
16,2.1,1800,1.1,4182,47.2,0
16,2,1800,1.1,4025,46.9,65
16,2.3,1800,1.1,3926,46.7,0
16,2.5,1800,1.1,3770,47.1,66
16,2.2,1800,1.1,3646,46.8,1
16,2.2,1800,1.1,3534,46.4,67
16,2.2,1800,1.1,3414,47.1,2
16,2.3,1800,1.1,3320,47,68
16,2.4,1800,1.1,3203,47.2,3
16,2.4,1800,1.1,3109,46.9,69
16,2.2,1800,1.1,3033,47.7,4
16,2,1800,1.1,2918,47.8,70
16,2.2,1800,1.1,2824,46.8,5
16,2.1,1800,1.1,2749,46.9,70
16,2.3,1800,1.1,2675,47,5
236,2.5,4100,0,4389,46.5,207
314,2.6,4100,0,4783,47.5,7
407,2.4,4100,0,5112,47,5
516,2.1,4100,0,5419,46.7,63
593,2.4,4100,0,5539,47,16
717,2.3,4100,0,5739,46.7,63
794,2.6,4100,0,5857,46.7,17
901,2.3,4100,0,5991,47.1,57
993,2,4100,0,6137,47.1,11
1120,2.5,4100,0,6252,46.5,65
1197,2.6,4100,0,6311,47,0
1321,2.2,4100,0,6393,47.3,66
1398,2.3,4100,0,6378,46.6,1
1507,2.4,4100,0,6440,47.1,67
1599,2.3,4100,0,6538,46.8,2
1720,2.6,4100,0,6583,47.1,68
1797,2.5,4100,0,6545,46.9,3
1920,2.3,4100,0,6648,46.6,68
1997,2.5,4100,0,6671,46.6,4
2108,2.6,4100,0,6697,47.1,69
2187,2.3,4100,0,6714,47.1,5
2309,2.2,4100,0,6672,47.1,70
2386,2.3,4100,0,6684,46.9,5
2510,2.3,4100,0,6764,47.4,71
2588,2.7,4100,0,6708,46.9,6
2713,2.8,4100,0,6787,46.7,72
2789,2.8,4100,0,6793,46.6,7
2913,2.9,4100,0,6801,45.8,73
2990,4.3,4100,0,6804,44.8,8
3115,4.3,4100,0,6741,45.2,74
3192,5.3,4100,0,6744,43.4,9
3316,5.8,4100,0,6811,43.5,75
3392,7.6,4100,0,6815,41.6,10
3513,7.9,4100,0,6749,41.5,76
3590,9.6,4100,0,6750,39.5,11
3731,10.2,3892,1.5,6721,38.8,90
3809,12.5,3800,13,6687,36.4,7
3934,13.3,3800,19.1,6690,36.1,74
4012,14.7,3811,11.9,6650,34.6,9
4121,15.2,3834,9.3,6600,34.2,74
4200,16.2,3867,4.7,6513,33.5,9
4325,16.2,3880,3.2,6550,33.1,75
4402,16.9,3883,3,6473,32.8,10
4524,17.1,3888,3,6461,32.4,75
4601,17.4,3892,2.5,6518,32.5,11
4727,17.2,3913,0.3,6451,32.6,69
4805,16.6,3951,-3.8,6516,33.1,4
4929,16.5,3975,-5.8,6530,33.8,77
5007,15.6,3983,-5.7,6476,34.7,12
5131,15,4001,-7,6494,34.6,78
5208,13.8,4016,-8,6570,36.4,13
5332,13.2,4032,-9.2,6531,36.5,79
5409,12.6,4016,-5.7,6607,36.9,14
5531,12.3,4008,-4.3,6625,37.9,80
5609,11,4036,-6.8,6634,38.6,15
5733,10.5,4056,-9,6654,39.3,81
5811,9.9,4041,-6.3,6668,40.2,16
5933,9.7,4031,-4.4,6616,39.8,82
6011,9.7,4001,-0.3,6685,40.3,17
6120,9.2,4001,-0.1,6622,40.3,83
6212,9.2,4007,-0.6,6621,40.4,0
6320,9.1,4010,-0.7,6619,40,84
6412,9.1,4006,-0.2,6621,40.3,1
6519,9.2,4001,0.3,6684,40.3,78
6597,9.1,4002,0.2,6684,40.7,13
6720,8.9,4011,-1,6684,40.6,86
6812,9.2,4001,0.6,6684,40.2,3
6920,9.3,3992,1.5,6683,40.3,87
7013,9.7,3978,3.1,6677,40,4
7121,9.6,3982,2.8,6606,39.8,88
7213,10,3990,1.4,6669,39.5,5
7320,10,3989,1.5,6602,39.8,89
7411,10.2,3997,0.5,6600,39.2,6
7533,10.3,3995,1,6599,39.4,90
7610,10.6,3990,1.5,6596,39.1,7
7733,10.5,3990,1.7,6659,38.9,74
7811,11,3977,2.9,6594,39,9
7934,10.6,3997,0.8,6656,38.7,74
8013,10.8,4004,-0.3,6591,38.8,9
8123,10.6,4014,-1.6,6660,38.8,74
8199,10.7,4010,-0.6,6597,38.7,10
8324,10.8,3994,1.2,6663,38.6,75
8401,10.7,4003,0.5,6597,38.4,11
8525,11.2,3993,1.1,6660,38.2,76
8603,11.3,3985,2.3,6659,38.4,12
8727,11.3,3985,2.1,6657,38.3,78
8805,11.4,4001,0.2,6657,38.3,13
8929,11.2,4010,-1,6662,38.1,79
9006,11.4,4001,0,6666,38.2,14
9130,11.1,4009,-0.7,6605,38.1,80
9206,11.4,3997,0.5,6672,38,15
9316,11.2,4003,0.2,6607,38.8,74
9392,11.1,4013,-1.1,6609,38.6,9
9531,10.9,4019,-1.8,6613,39,82
9607,11.3,3993,1.3,6616,38.9,17
9732,10.9,4006,0.2,6680,38.6,83
9808,11,4010,-0.3,6616,38.4,0
9933,11.1,4000,0.4,6678,38.2,84
10011,11.1,4002,0.6,6675,38.7,1
10120,11.2,3997,0.8,6674,38.1,85
10213,11.3,3993,1.3,6672,37.9,2
10320,11.6,3988,1.8,6671,37.7,86
10412,12.2,3971,3.7,6666,37,3
10534,12.1,3974,3.4,6594,37.3,87
10611,12.3,3990,0.8,6656,37.2,4
10749,12.4,3991,0.9,6591,37.1,88
10811,12.6,3991,0.8,6656,36.9,6
10934,12.7,3988,1.1,6591,37.1,90
11010,12.7,3994,0.4,6590,36.8,7
11134,12.6,3999,0,6590,37.2,74
11213,12.9,3989,1,6593,36.8,9
11321,12.8,3994,0.8,6593,36.9,74
11413,12.7,3994,0.3,6593,37,9
11520,12.8,4006,-1.2,6660,36.4,68
11598,12.9,3993,0.7,6663,36.8,4
11721,12.9,3993,0.4,6663,36.9,77
11813,12.7,4007,-1,6599,36.4,12
11920,12.9,3998,-0.3,6665,36.4,71
11997,12.9,3994,0.5,6665,36.7,6
12120,12.9,3991,0.6,6599,36.5,72
12198,13.1,3985,1.7,6663,36.7,8
12320,13.2,3985,1.1,6662,36.3,81
12412,13.3,3987,1.1,6660,36,16
12522,13.7,3974,2.2,6593,36.2,82
12599,13.5,3986,0.8,6654,36.2,17
12723,13.4,4001,-0.8,6590,35.8,83
12800,13.3,4001,-1.1,6656,36.2,1
12922,13.4,4003,-1.2,6659,35.8,64
12983,13.7,3980,1.9,6659,36,0
13123,13.8,3976,2.1,6593,35.6,86
13200,13.8,3990,0.4,6591,35.8,3
13324,13.8,3996,-0.4,6590,36,87
13402,13.6,4009,-2.1,6593,35.8,4
13527,13.7,4007,-1.6,6597,36.5,88
13603,13.5,3999,-0.6,6600,36,5
13727,13.6,3995,0.2,6665,36,89
13804,13.3,4003,-0.8,6600,36.3,7
13927,13.4,4001,-0.8,6668,35.9,91
14005,13.6,3985,1.4,6603,36.4,8
14127,13.4,3996,0,6665,35.9,74
14204,13.4,3996,-0.1,6663,35.8,9
14327,13.1,4014,-2.4,6666,36.3,75
14405,13.7,3980,2,6669,36.4,10
14528,13.9,3965,3.7,6663,35.6,76
