t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
10,34.4,3100,15,6490,11.9,4
14,34.9,3100,3.3,6443,11.8,70
14,35.2,0,5,6338,11.4,6
14,35.4,0,5,5782,11.5,208
14,34.2,0,5,5679,16.6,6
14,28.7,0,5,5465,20.4,7
14,25.9,0,5,5250,23.2,65
15,16.4,0,5,5100,32.4,1
15,13.9,0,5,4885,34,66
15,5.7,0,5,4793,44.2,2
15,1.8,0,5,4601,45.9,67
15,1.9,3400,5,4471,45.6,3
15,0.9,3400,5,5062,46.3,204
15,0.4,3400,5,5300,46.5,9
15,0.1,3400,5,5487,46.9,2
15,0.2,3400,5,5705,46.9,76
15,0,3400,5,5843,47,11
15,0,3400,5,5951,46.7,77
15,0.1,3400,5,6043,47.1,12
15,0.3,3400,5,6230,46.7,77
15,0.2,3400,5,6240,47.1,13
15,0.5,3400,5,6392,46.4,60
15,0.1,3400,5,6382,46.2,13
15,0.2,3400,5,6454,47,61
15,0,3400,5,6554,47.4,14
15,0,3400,5,6609,46.9,62
15,0.2,3400,5,6641,46.8,15
15,0.1,3400,5,6616,47,55
15,0,3400,5,6703,46.4,8
15,0.3,3400,5,6671,47,63
15,0.8,3400,5,6687,45.9,17
15,0.4,3400,5,6775,46.3,64
15,1,3400,5,6787,45.6,17
15,1.5,3400,5,6735,45.4,65
15,2.4,3400,5,6743,44.1,0
15,3,3400,5,6816,43.6,66
15,4.5,3400,5,6821,42,1
15,5,3400,5,6762,41.7,67
15,6.9,3400,5,6765,39.6,2
15,7.5,3400,5,6767,38.3,68
15,10,3400,5,6768,36.5,3
15,11,3400,5,6833,35.4,69
15,13.6,3400,5,6832,33.1,4
15,13.9,3400,5,6765,32.7,70
15,17.9,3400,5,6764,28.1,5
15,19.3,3400,5,6764,27.2,71
15,24.7,3400,5,6764,21.6,6
240,26.1,3300,1.7,6714,19.6,208
317,29.2,3300,40.4,6694,11.9,8
394,36.2,3300,18.3,6744,10.2,7
503,37.2,3300,23.3,6659,9,64
582,40.6,3300,6.7,6638,6.6,1
710,40.9,3300,6.7,6680,5.8,67
788,40.8,3475,-6.7,6605,6.3,4
928,40.4,3700,-15,6675,7.3,83
1006,38.5,3747,-11.7,6764,8.8,2
1115,38.2,3416,-5,6920,8.5,86
1193,37.6,3588,-8.3,6863,9.7,4
1318,37.8,3300,3.3,6928,9.2,89
1393,39,3300,11.7,6836,7.7,7
1503,39.4,3300,8.3,6801,7.4,60
1581,39.3,3487,-6.7,6785,7.4,15
1704,39.5,3300,1.7,6779,7.5,63
1782,38.9,3300,0,6788,7.9,0
1906,38.9,3300,-1.7,6852,8.3,66
1981,39,3300,3.3,6841,8.3,3
2105,39,3300,3.3,6761,7.9,69
2184,38.7,3410,-5,6827,8.3,6
2308,38.7,3300,1.7,6761,7.6,72
2385,38.7,3700,-11.7,6752,8.8,9
2509,38.6,3300,3.3,6836,8.3,75
2585,38.6,3300,1.7,6829,8,12
2710,38.8,3300,-1.7,6750,8.2,60
2786,38.7,3300,5,6746,8.2,14
2925,38.6,3325,-3.3,6802,8.7,76
3005,39,3300,0,6727,8,12
3115,38.8,3574,-8.3,6753,8.5,79
3208,38.6,3300,3.3,6781,7.9,15
3317,38.8,3300,0,6836,8.3,75
3396,38.9,3489,-6.7,6822,8.6,11
3519,38.5,3343,3.3,6799,8.4,85
3598,39,3300,5,6855,7.8,3
3721,39.1,3300,1.7,6768,8,88
3800,38.9,3300,0,6758,8,6
3924,38.7,3490,-6.7,6841,7.9,74
4001,38.9,3300,-1.7,6855,7.8,10
4125,38.9,3300,-1.7,6841,7.8,75
4203,38.9,3300,5,6829,8.1,12
4327,38.8,3321,-3.3,6750,8.6,78
4404,38.8,3300,3.3,6741,8.1,15
4514,38.7,3406,-5,6808,8.3,81
4607,38.6,3300,0,6813,8.3,0
4718,38.6,3300,5,6804,8.1,77
4795,38.6,3406,-5,6795,8.6,14
4905,38.5,3300,3.3,6726,8,74
4982,38.6,3300,-1.7,6718,8.3,11
5108,38.6,3323,-3.3,6778,8.3,83
5200,38.9,3300,1.7,6770,8.2,2
5324,38.4,3490,-6.7,6807,8.6,75
5402,38.4,3300,-1.7,6821,8.7,12
5527,38.5,3300,6.7,6807,8.3,78
5605,38.6,3300,1.7,6732,7.9,14
5714,38.8,3300,0,6787,8.4,68
5791,38.6,3300,0,6784,8.4,4
5914,38.7,3300,1.7,6706,9.1,70
5992,38.6,3300,10,6718,8.4,7
6100,38.7,3300,1.7,6778,8.5,66
6177,38.6,3300,3.3,6770,8.3,3
6317,38.5,3322,-3.3,6696,8.5,89
6393,38.9,3300,5,6688,8.2,8
6518,38.8,3300,1.7,6744,8.1,74
6595,38.5,3488,-6.7,6744,8.5,11
6705,38.4,3300,0,6759,8.6,64
6782,38.3,3300,5,6759,8.5,1
6905,38.4,3300,0,6688,8.5,59
6983,38.4,3300,-1.7,6683,8.2,13
7107,38.6,3300,-1.7,6743,8.3,70
7184,38.6,3300,-1.7,6738,8.4,6
7309,38.8,3300,5,6734,8.1,72
7385,38.3,3300,0,6749,8.7,9
7509,38.3,3300,-1.7,6685,9,75
7586,38.3,3300,-1.7,6683,8.8,12
7710,38.4,3300,-1.7,6741,9,60
7787,38.5,3300,8.3,6750,8.5,15
7913,38.3,3406,-5,6764,8.7,69
7991,38.3,3300,-1.7,6770,8.8,5
8117,38.3,3300,1.7,6696,8.9,79
8194,38.6,3300,16.7,6755,7.7,15
8320,38.6,3569,-8.3,6720,7.6,81
8398,38.4,3571,-8.3,6746,8.7,0
8522,38.5,3300,3.3,6756,8.3,84
8599,38.5,3319,-3.3,6744,8.5,3
8710,38.6,3300,0,6730,8.1,74
8787,39,3300,1.7,6721,7.9,11
8912,38.6,3568,-8.3,6761,8.3,83
8988,38.8,3300,3.3,6781,8.8,2
9128,38.8,3300,1.7,6830,8,75
9205,38.8,3300,1.7,6816,8,12
9313,39.1,3300,3.3,6799,7.8,65
9391,39,3396,-5,6785,8.1,2
9498,39,3300,3.3,6791,8,60
9576,38.8,3300,6.7,6805,7.9,15
9729,38.5,3734,-11.7,6877,8.8,84
9807,38.5,3300,3.3,6920,8.5,3
9928,38.8,3300,6.7,6893,8.1,87
10005,39,3396,-5,6874,8,6
10114,38.9,3300,0,6864,8.1,77
10192,38.7,3315,-3.3,6850,8.3,13
10299,38.8,3300,0,6833,8.5,55
10378,38.6,3300,0,6822,8.7,9
10501,38.6,3300,1.7,6740,8.2,65
10594,38.9,3300,1.7,6727,8.4,1
10701,39,3300,1.7,6781,8,68
10793,38.7,3314,-3.3,6775,8.4,4
10902,38.5,3300,-1.7,6702,8.3,71
10995,38.5,3300,1.7,6694,9,7
11102,38.4,3300,0,6753,8.5,74
11196,38.6,3300,3.3,6749,8.5,10
11320,38.6,3315,-3.3,6678,8.5,89
11400,38.5,3300,3.3,6678,8.4,8
11522,38.6,3300,1.7,6740,8,74
11600,38.6,3300,-1.7,6737,8.1,11
11712,38.5,3300,0,6732,8.2,64
11791,38.3,3400,-5,6732,8.5,1
11914,38.4,3300,1.7,6674,8.1,67
11993,38.5,3564,-8.3,6738,8.6,3
12102,38.5,3300,3.3,6685,8.6,70
12195,38.6,3300,5,6681,8,6
12302,38.6,3300,-1.7,6741,8.4,72
12394,38.6,3300,0,6737,8.4,9
12502,38.6,3300,-1.7,6668,8.8,75
12596,38.6,3300,1.7,6665,8.4,12
12722,38.4,3482,-6.7,6749,8.9,74
12802,38.5,3300,3.3,6765,8.7,11
12910,38.5,3300,0,6761,8.4,69
12987,38.8,3300,-1.7,6685,7.7,6
13112,39,3300,-1.7,6675,8.3,66
13192,38.4,3314,-3.3,6684,8.5,2
13315,38.5,3300,1.7,6752,8.4,69
13390,38.1,3300,-1.7,6764,9,5
13516,38.3,3300,5,6706,8.8,71
13593,38.6,3300,1.7,6697,8.3,8
13702,38.7,3300,1.7,6755,8.7,74
13796,38.6,3300,3.3,6690,8.8,11
13922,38.2,3398,-5,6711,8.7,90
13999,38.5,3312,-3.3,6717,8.6,9
14125,38.7,3300,6.7,6776,8.7,75
14204,38.6,3300,3.3,6782,8.4,12
14311,38.8,3300,3.3,6778,8.9,65
14391,38.6,3393,-5,6773,9.1,1
