t_ms,H,T,P,D,RPM,RAW,age,RS
10500,15.7,15.0,3978,3.3,6545,31.0,83,6549
10577,16.0,15.0,3968,2.4,6605,31.2,0,6555
10686,15.6,15.0,3992,1.1,6538,30.8,77,6571
10762,16.1,15.0,3978,0.9,6538,31.0,12,6569
10902,15.9,15.0,3983,0.3,6540,30.8,85,6576
10979,15.6,15.0,3994,-1.0,6605,31.5,2,6593
11103,15.3,15.0,4005,-2.4,6609,31.4,86,6610
11180,15.3,15.0,4002,-1.8,6613,32.2,3,6604
11290,15.1,15.0,4006,-2.2,6618,31.6,87,6610
11370,14.7,15.0,4008,-2.1,6622,32.0,4,6613
11495,14.6,15.0,4012,-2.6,6628,32.0,88,6618
11574,14.3,15.0,4009,-1.9,6632,32.2,5,6614
11700,14.4,15.0,4006,-1.6,6637,31.8,89,6611
11779,14.1,15.0,4005,-1.1,6638,32.3,6,6609
11902,14.0,15.0,4008,-1.5,6641,32.7,90,6613
11980,14.2,15.0,3999,-0.3,6643,33.0,7,6600
