t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
11,0.4,0,0,0,46.7,75
16,0.2,0,0,0,46.9,10
16,0.3,0,0,0,46.6,199
16,0.3,0,0,0,46.9,7
16,0.3,0,0,0,47,15
16,0.3,0,0,0,47,53
16,0.3,0,0,0,46.9,6
16,0.6,0,0,0,47,61
16,0.5,0,0,0,47.1,14
16,0.4,0,0,0,47.4,62
16,0.6,0,0,0,46.8,15
16,0.1,0,0,0,47.1,63
16,0.3,0,0,0,46.9,17
16,0.6,0,0,0,46.3,64
16,0.4,0,0,0,47.6,0
16,0.1,0,0,0,47.4,65
16,0.5,0,0,0,46.8,1
16,0,0,0,0,47.4,58
16,0.4,0,0,0,47,12
16,0.2,0,0,0,46.9,67
16,0.5,0,0,0,47.3,3
16,0.3,0,0,0,46.7,60
16,0.2,3800,0,0,46.9,14
17,0.4,3800,0,0,47,206
17,0.3,3800,0,0,46.6,15
17,0,3800,0,0,47.9,4
17,0.2,3800,0,0,46.9,61
17,0,3800,0,0,47.2,14
17,0.3,3800,0,0,46.7,62
17,0.4,3800,0,0,47,15
17,0.2,3800,0,0,47.4,63
17,0.5,3800,0,0,46.5,16
17,0.3,3800,0,0,47.5,64
17,0,3800,0,0,47,17
17,0.3,3800,0,0,47.3,57
17,0.4,3800,0,0,47.4,10
17,0.3,3800,0,0,47.2,66
17,0.3,3800,0,0,47.2,1
17,0.2,3800,0,0,46.5,59
17,0,3800,0,0,47,13
17,0.1,3800,0,0,46.5,68
17,0.3,3800,0,0,46.7,4
17,0.3,3800,0,0,46.7,69
17,0.1,3800,0,0,46.9,5
17,0.2,3800,0,0,47.3,70
17,0.3,3800,0,0,47.2,6
17,0.3,3800,0,0,46.7,72
73,0.4,4100,0,0,47.2,7
337,0.2,4100,0,0,46.6,209
414,0.4,4100,0,0,46.7,15
491,0.5,4100,0,0,46.7,7
600,0.2,4100,0,0,46.8,64
677,0.5,4100,0,0,46.8,17
802,0.3,4100,0,0,47,65
880,0.2,4100,0,2035,47.1,0
1006,0.1,4100,0,3397,47.1,66
1083,0.1,4100,0,4120,47.3,1
1208,0.3,4100,0,4783,46.7,67
1285,0.3,4100,0,5102,46.6,2
1392,0.3,4100,0,5394,47.2,60
1471,0.1,4100,0,5548,46.7,14
1594,0,4100,0,5703,47.1,69
1687,0.4,4100,0,5859,47.3,5
1798,0.2,4100,0,5992,47,70
1875,0.3,4100,0,6066,47.1,6
2001,0.1,4100,0,6160,47.2,71
2078,0.3,4100,0,6211,46.9,7
2204,0.2,4100,0,6221,47.3,72
2280,0.4,4100,0,6323,47.1,8
2405,0.3,4100,0,6311,46.5,74
2484,0.2,4100,0,6404,47.4,9
2609,0,4100,0,6388,47.4,88
2702,0.3,4099,0,6472,46.8,5
2812,0.4,4099,0,6504,47.3,89
2890,0.4,4100,0,6457,46.2,6
3000,0.5,4100,0,6476,46.6,69
3076,0.3,4100,0,6554,46.5,4
3201,0.2,4100,0,6574,46.5,60
3279,0.3,4100,0,6521,47.5,13
3405,0.1,4100,0,6538,46.7,61
3484,0.5,4100,0,6547,47.1,14
3608,0.3,4100,0,6558,46.8,62
3687,0.5,4100,0,6567,46.7,15
3796,0.2,4100,0,6580,47.1,63
3888,0.5,4100,0,6587,47.5,16
3996,0.2,4100,0,6663,46.7,56
4074,0.3,4100,0,6607,47.3,9
4200,0.3,4100,0,6688,46.7,57
4279,0.1,4100,0,6699,47.4,10
4416,0.1,4100,0,6648,47,79
4494,0.3,4100,0,6656,46.8,14
4619,0.5,4099,0,6729,46.9,80
4695,0.7,4100,0,6668,46.3,16
4805,1,4100,0,6677,45.7,68
4883,1.6,4100,0,6681,45.6,4
5008,1.6,4100,0,6687,45.3,82
5087,2.1,4100,0,6688,44.7,0
5213,2.5,4099,0,6758,44,84
5291,3.9,4100,0,6758,43.2,1
5401,4.2,4100,0,6759,42.5,72
5480,5.7,4100,0,6759,41.1,7
5604,6.5,4100,0,6693,40.4,73
5696,8.1,4100,0,6694,38.7,8
5807,9,4100,0,6693,37.2,74
5886,10.8,3755,2.5,6680,35.6,9
6008,11.9,3725,7.1,6583,34.8,88
6101,15,3700,15.2,6523,31.7,5
6209,15.5,3700,18.6,6443,31.9,89
6287,16.9,3700,14.9,6461,30.3,6
6396,17.1,3700,12.8,6345,29.9,76
6474,17.7,3734,6,6374,29,12
6614,17.9,3744,3.1,6334,29.6,90
6691,17.4,3751,-1.8,6318,29.8,7
6816,17.1,3774,-3.8,6302,31.3,74
6893,16,3778,-6.7,6293,31.7,9
7015,15.3,3802,-8.6,6227,32.4,74
7093,12.6,3819,-13.4,6287,35.2,9
7219,11.7,3853,-17.1,6235,36,75
7297,8.5,3862,-18.9,6303,39.3,10
7420,7.5,3889,-20.9,6260,40.4,76
7499,4.5,3887,-19.8,6333,43.4,11
7622,3.7,3903,-19,6290,44.5,77
7700,0.8,4100,0,6377,46.7,12
7809,0.7,4100,0,6376,46.4,78
7889,1.1,4100,0,6478,45.8,13
7998,1.5,4100,0,6462,46.1,66
8077,0.9,4100,0,6496,46.8,1
8204,0.4,4100,0,6538,47.2,67
8282,0.6,4099,0,6561,46.2,2
8407,0.7,4100,0,6587,46.6,68
8484,0.5,4099,0,6607,46.6,4
8607,0.6,4100,0,6629,46.5,69
8685,0.7,4100,0,6644,46.9,5
8809,1.1,4100,0,6663,47,83
8902,1.2,4100,0,6672,46.4,1
8996,1.3,4099,0,6684,45.3,71
9088,2.3,4099,0,6755,45.3,7
9214,2.2,4100,0,6759,45.1,85
9294,3.8,4100,0,6762,43,3
9403,4.3,4100,0,6765,42.3,74
9482,6,4100,0,6767,40.4,9
9607,6.9,4100,0,6703,40.3,75
9684,9,4100,0,6703,37,10
9810,10.5,3756,0.8,6668,36,88
9888,13.3,3707,10.6,6610,33.5,5
10010,14,3701,14.8,6527,32.1,89
10088,16.8,3700,19.4,6475,30.4,6
10197,16.8,3700,18.8,6479,30.2,77
10275,18.4,3702,12.5,6380,27.9,12
10416,19.3,3715,10.3,6329,27.8,74
10493,19.6,3715,5.8,6364,27.8,9
10601,19.3,3732,1.6,6333,28.1,67
10696,17.9,3764,-6,6259,30.1,3
10821,17.3,3794,-10.1,6251,30.5,75
10915,16.1,3788,-10.3,6309,32.1,11
11011,15.4,3807,-10.6,6246,32.6,76
11088,12.8,3816,-13.5,6307,35.3,11
11212,11.6,3845,-16.1,6253,36.6,77
11289,8.4,3859,-19.5,6322,39.7,12
11416,7.1,3887,-21.4,6276,40.6,78
11492,4.3,3884,-20.6,6350,44.3,13
11618,3,4100,0,6329,44.4,79
11696,0.7,4100,0,6437,45.7,14
11804,1.4,4100,0,6425,46,67
11882,1.6,4099,0,6520,46,2
12009,1.8,4100,0,6507,45.6,81
12102,1.6,4100,0,6534,46.2,16
12210,1.2,4100,0,6573,45.7,82
12289,0.8,4100,0,6597,46.7,18
12413,0.6,4100,0,6626,46.8,83
12491,0.4,4100,0,6644,46.7,1
12614,0.5,4096,0,6726,46.9,84
12693,0.8,4097,0,6735,46,2
12801,1.1,4100,0,6746,45.8,72
12880,2.4,4100,0,6685,44.7,8
13004,3,4100,0,6755,43.9,74
13084,5.3,4100,0,6758,41.6,9
13208,6.2,4100,0,6696,40.6,75
13285,8.7,4100,0,6697,38.1,10
13410,9.6,4100,0,6765,37.2,76
13489,12.4,3715,7.1,6747,33.8,11
13613,13.5,3703,14,6648,33.3,90
13692,15.8,3700,16.3,6531,30.7,7
13801,16.3,3700,17.1,6530,31,77
13879,17.6,3714,12.3,6483,29.5,13
14019,18.3,3706,9.1,6423,28.7,73
14096,19.4,3721,6.8,6331,28.1,8
14223,19.2,3713,5.1,6294,28.3,74
14302,18.4,3754,-1.9,6276,29.2,9
14412,17.9,3757,-5.6,6257,29.7,75
14490,16.2,3792,-9.8,6250,31.4,10
14613,15.9,3790,-11.4,6305,31.4,76
14691,13.1,3825,-14.3,6242,34.8,11
14815,12.3,3828,-16.5,6307,36.1,76
14894,8.5,3872,-20.9,6252,38.9,11
15017,7.8,3871,-21.7,6327,40.5,77
15095,4.6,3890,-19.6,6277,43.5,13
15219,3.4,3888,-20.2,6354,44.9,78
15296,0.8,4100,0,6313,46.2,14
15420,1,4100,0,6378,46.2,79
15498,1,4100,0,6480,46.4,15
15608,0.8,4100,0,6469,46.2,68
15685,0.3,4098,0,6564,46.7,3
15811,0.3,4100,0,6548,46.9,82
15890,0.3,4100,0,6573,46.8,17
16015,0.5,4100,0,6602,46.7,83
16095,0.3,4100,0,6621,46.5,0
16218,0.6,4097,0,6706,46.7,84
16297,0.6,4100,0,6718,46.5,1
16407,0.8,4100,0,6668,46.2,72
16485,1.2,4100,0,6675,46.1,7
16611,1.7,4100,0,6687,45.3,86
16688,3,4100,0,6691,44,3
16811,3.3,4100,0,6762,43.3,87
16889,5,4100,0,6768,42.1,4
16997,5.3,4100,0,6773,41.4,75
17076,7,4100,0,6775,40,11
17201,7.5,4100,0,6712,39.3,76
17280,10,4100,0,6709,36.9,11
17419,10.8,3749,1.9,6647,35.1,90
17496,14.3,3700,13.4,6657,32.1,7
17621,15.4,3700,20.3,6510,31.3,74
17698,16.9,3700,17.7,6523,29.7,9
17823,17.8,3700,15.6,6458,29.6,74
17902,19.1,3719,10,6358,27.6,9
18012,19.9,3704,9.2,6310,27.2,75
18090,19.9,3733,4.2,6285,27,11
18213,20.4,3725,2.6,6256,27.3,77
18292,19.3,3761,-3,6242,29,12
18415,18.3,3770,-7.3,6291,29.1,78
18493,16.8,3802,-11,6229,30.8,13
18618,16.3,3797,-11.8,6291,31.9,79
18697,13.8,3827,-13.6,6233,34.1,14
18821,12.6,3833,-16.3,6299,35.4,79
18899,9.5,3855,-18.7,6246,38.5,15
19022,8.2,3875,-21.8,6325,39.8,80
