t_ms,H_cm,T_cm,E_cm,P,M,D_cms,RPM,RAW_cm,age_ms,F,PRE,CAS,RS,CM,FH,TID,TIN,TST
9,3.0,15.0,0.0,0,1,0.0,0,46.1,7,44.0,0,1,0,2,0.00,0xEE,0,0
13,2.6,15.0,0.0,0,1,0.0,0,46.6,63,44.0,0,1,0,2,0.00,0xEE,0,0
13,2.7,15.0,0.0,0,1,0.0,0,46.7,16,44.0,0,1,0,2,0.00,0xEE,0,0
13,2.6,15.0,0.0,0,1,0.0,0,46.5,179,44.0,0,1,0,2,0.00,0xEE,0,0
13,2.7,15.0,0.0,0,1,0.0,0,46.8,64,44.0,0,1,0,2,0.00,0xEE,0,0
13,2.9,15.0,0.0,0,1,0.0,0,46.2,0,44.0,0,1,0,2,0.00,0xEE,0,0
13,2.7,15.0,0.0,0,1,0.0,0,46.7,57,44.0,0,1,0,2,0.00,0xEE,0,0
13,2.8,15.0,0.0,0,1,0.0,0,46.9,11,44.0,0,1,0,2,0.00,0xEE,0,0
13,2.5,15.0,0.0,0,1,0.0,0,46.8,66,44.0,0,1,0,2,0.00,0xEE,0,0
13,2.6,15.0,0.0,0,1,0.0,0,46.8,2,34.9,0,1,0,2,0.00,0xEE,0,0
13,2.5,15.0,0.0,0,1,0.0,0,47.0,67,34.9,0,1,0,2,0.00,0xEE,0,0
13,2.7,15.0,0.0,0,1,0.0,0,46.5,2,34.9,0,1,0,2,0.00,0xEE,0,0
13,3.0,15.0,0.0,0,1,0.0,0,47.3,68,34.9,0,1,0,2,0.00,0xEE,0,0
13,2.8,15.0,0.0,0,1,0.0,0,46.4,3,34.9,0,1,0,2,0.00,0xEE,0,0
13,2.8,15.0,0.0,0,1,0.0,0,46.7,69,34.9,0,1,0,2,0.00,0xEE,0,0
13,2.6,15.0,0.0,0,1,0.0,0,46.6,4,34.9,0,1,0,2,0.00,0xEE,0,0
14,2.7,15.0,0.0,0,1,0.0,0,46.5,70,34.9,0,1,0,2,0.00,0xEE,0,0
