t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
8,0.1,0,0,0,47,7
12,0.1,0,0,0,46.8,72
12,0,0,0,0,47.4,8
12,0.4,0,0,0,47.1,196
12,0,0,0,0,46.6,5
12,0,0,0,0,46.3,12
12,0.3,0,0,0,47,67
12,0.1,0,0,0,47,2
12,0.1,0,0,0,46.6,76
12,0,0,0,0,47.1,11
12,0,0,0,0,46.9,68
12,0.1,0,0,0,47,4
12,0,0,0,0,47.3,69
12,0.1,0,0,0,47.5,4
12,0.3,0,0,0,46.9,60
12,0,0,0,0,46.6,13
12,0.1,0,0,0,47,61
12,0,0,0,0,47.1,14
12,0.1,4000,0,0,47,197
12,0,4000,0,0,47.2,6
12,0.3,4000,0,0,46.9,13
12,0,4000,0,0,46.2,62
12,0.1,4000,0,0,46.9,15
12,0,4000,0,0,46.8,64
12,0.3,4000,0,0,47.3,17
12,0.3,4000,0,0,46.7,72
12,0,4000,0,0,47.2,7
12,0,4000,0,0,47.4,73
12,0,4000,0,0,47.4,8
12,0,4000,0,0,47.6,65
12,0,4000,0,0,46.7,0
12,0,4000,0,0,46.6,66
12,0,4000,0,0,47.1,1
12,0,4000,0,0,47.2,67
12,0.3,4000,0,0,46.9,2
12,0.1,4000,0,0,47,69
12,0.1,4000,0,0,46.7,4
12,0.3,4000,0,0,46.7,77
12,0,4000,0,0,46.8,12
12,0.2,4000,0,0,46.9,77
12,0.1,4000,0,0,46.7,12
12,0,4000,0,0,47.2,60
12,0.1,4000,0,0,46.5,13
12,0,4000,0,0,46.9,53
12,0,4000,0,0,47,6
12,0.3,4000,0,0,47.4,62
12,0.2,4000,0,0,46.8,15
12,0,4000,0,0,47,62
12,0.2,4000,0,0,46.9,16
12,0.3,4000,0,0,46.5,63
12,0.4,4000,0,0,46.9,16
12,0,4000,0,0,47.3,64
13,0,4000,0,0,47.1,17
13,0.1,4000,0,0,47.3,65
13,0.2,4000,0,0,46.9,0
13,0.4,4000,0,0,47.1,66
13,0.1,4000,0,0,47.3,1
13,0,4000,0,0,46.9,66
13,0.2,4000,0,0,46.7,2
13,0.4,4000,0,0,46.8,67
13,0.1,4000,0,0,47,2
13,0,4000,0,0,47,68
13,0.1,4000,0,0,46.5,3
13,0.1,4000,0,0,46.7,61
13,0.1,4000,0,0,46.9,14
13,0,4000,0,0,46.9,62
13,0.1,4000,0,0,47,15
13,0,4000,0,529,47.3,62
13,0.2,4000,0,2645,46.7,16
13,0.2,4000,0,4045,47.2,71
13,0,4000,0,4442,47.3,6
13,0,4000,0,4915,47,72
13,0,4000,0,5119,46.5,7
13,0.1,4000,0,5297,47.2,73
13,0,4000,0,5414,46.4,8
13,0,4000,0,5565,46.9,73
13,0,4000,0,5706,46.8,9
13,0,4000,0,5810,46.8,67
60,0,4120,-0.4,5813,47.1,2
323,0.2,4209,0.2,6165,46.9,211
416,0.2,4213,0.2,6179,47.6,74
494,0,4220,-0.6,6311,46.9,14
601,0.1,4219,-0.3,6338,46.9,78
694,0,4222,-0.2,6454,47.3,14
801,0,4224,-0.4,6520,47,72
877,0,4225,-0.2,6565,46.5,8
988,0.1,4224,0.2,6551,47.3,59
1065,0.1,4226,0.2,6584,47.2,12
1206,0,4229,-0.2,6699,47.1,74
1284,0,4232,-0.1,6727,47.2,9
1408,0.1,4230,0.2,6697,46.6,75
1485,0.4,4224,1.5,6718,46.7,10
