t_ms,H_cm,P,D_cms,RPM,RAW_cm,age_ms
8,0,0,-0.4,0,47.1,56
12,0,0,-0.4,0,46.5,9
12,0,0,-0.4,0,46.3,180
12,0,0,0,0,46.7,2
12,0,0,0,0,46.9,14
12,0,0,0,0,46.7,59
12,0,0,0,0,46.6,12
12,0,0,0,0,46.2,59
12,0,0,0,0,47,13
12,0,0,0,0,47,60
12,0,0,0,0,47.3,14
12,0,0,0,0,46.7,61
12,0,0,0,0,46.5,14
12,0,0,0,0,46.9,62
12,0,0,0,0,46.5,15
13,0,0,0,0,46.7,63
13,0,0,0,0,46.8,16
13,0,0,0,0,46.8,64
13,0,0,0,0,47,17
13,0,0,0,0,47.1,65
13,0,0,0,0,46.9,0
13,0,0,0,0,46.9,66
13,0,0,0,0,46.5,2
13,0,0,0,0,46.7,66
13,0,1800,0,0,47.2,2
13,0,1800,0,0,46.8,204
13,0,1800,0,0,46.9,13
13,0,1800,0,0,46.8,2
13,0,1800,0,0,46.5,69
13,0,1800,0,0,47,4
13,0,1800,0,0,46.8,53
13,0,1800,0,0,47,6
13,0,1800,0,0,46.8,54
13,0,1800,0,0,47.1,7
13,0,1800,0,0,46.8,54
13,0,1800,0,0,46.7,7
13,0,1800,0,0,47.4,55
13,0,1800,0,0,47,8
13,0,1800,0,0,46.7,55
13,0,1800,0,0,47.1,9
13,0,1800,0,0,46.2,56
13,0,1800,0,1015,47,10
13,0,1800,0,1314,46.7,57
13,0,1800,0,1388,46.7,10
13,0,1800,0,1458,46.3,59
13,0,1800,0,1488,47.1,12
13,0,1800,0,1522,47.1,59
13,0,1800,0,1538,46.7,12
13,0,1800,0,1547,47.2,61
45,0,4100,0,1572,46.9,14
292,0,4100,0,4357,46.8,198
370,0,4100,0,4737,47.1,6
448,0,4100,0,5054,46.7,14
555,0,4100,0,5318,46.8,63
648,0,4100,0,5478,46.4,17
754,0,4100,0,5629,47.2,65
847,0,4100,0,5793,46.7,0
956,0,4100,0,5874,47,65
1034,0,4100,0,5942,46.8,0
1159,0,4100,0,6026,47.2,66
1238,0,4100,0,6075,46.8,1
1363,0,4100,0,6209,46.6,67
1440,0,4100,0,6257,47.3,2
1565,0,4100,0,6329,46.5,68
1644,0,4100,0,6366,47.1,3
1766,0,4100,0,6421,46.4,69
1844,0,4100,0,6389,46.8,4
1953,0,4100,0,6432,47.5,69
2047,0,4100,0,6520,46.7,5
2155,0,4100,0,6553,47.2,53
2248,0,4100,0,6509,46.6,6
2358,0,4100,0,6600,46.9,53
2435,0,4100,0,6551,46.9,6
2559,0,4100,0,6640,47.2,55
2636,0,4100,0,6587,46.9,8
2760,0,4100,0,6668,47.3,55
2838,0,4100,0,6615,46.5,8
2963,0,4100,0,6694,46.5,56
3041,0,4100,0,6702,46.6,9
3167,0,4100,0,6645,46,56
3246,0.1,4100,0,6714,46.5,10
3370,0.2,4100,0,6659,45.3,65
3448,0.6,4100,0,6663,45.8,1
3571,0.8,4100,0,6666,45.1,66
3647,1.7,4100,0,6669,44.3,1
3771,1.9,4100,0,6740,44.2,67
3854,3,4100,0,6744,42.8,2
3975,3.5,4100,0,6681,42.7,68
4052,4.4,4100,0,6683,41.9,3
4162,4.9,4100,0,6750,41,69
4256,6.2,4100,0,6685,39.5,4
4366,7,4100,0,6752,39.1,70
4444,8.5,4100,0,6752,37.8,5
4567,9.1,4100,0,6685,37.3,71
4645,10.8,3916,3.2,6687,35.1,7
4783,11.1,3883,7.4,6635,34.9,85
4859,13.2,3840,12.7,6666,33.4,2
4985,13.5,3830,14.6,6545,32.9,86
5064,14.3,3892,6,6580,32.1,4
5187,14.6,3910,4.5,6483,32.2,88
5263,15.7,3912,4.6,6535,30.9,5
5387,15.8,3913,5.5,6521,30.7,89
5468,17,3902,6.9,6450,29.5,6
5578,17.3,3901,7.9,6439,30.2,90
5656,16.6,3981,-2.4,6499,30.9,7
5781,16.1,4033,-7.7,6517,31.1,74
5859,14.9,4062,-10,6537,31.5,9
5983,14.9,4063,-8.8,6567,32,74
6060,14.3,4024,-2.5,6520,32.4,10
6185,14.1,4020,-1.2,6533,32.7,75
6263,13.5,4037,-2.9,6541,33.4,11
6387,13.1,4059,-5.1,6558,33.9,76
6466,12.7,4054,-4,6571,33.8,11
6576,12.7,4045,-2.2,6584,34.1,77
6654,12.4,4038,-0.6,6591,34.1,12
6779,12.4,4041,-0.7,6597,34.2,78
6857,12.4,4032,0.7,6600,34.7,13
6982,12.3,4048,-1.2,6669,33.8,79
7058,12,4055,-1.5,6607,34.2,14
7184,12.6,4038,0.3,6677,33.5,80
7261,13,4014,3.8,6678,33.6,15
7386,13.1,4005,4.7,6672,33.6,81
7463,13.3,4019,2.5,6668,33.1,16
7585,13.7,4016,2.5,6666,32.9,82
7663,13.6,4032,0.5,6666,33,17
7786,14.1,4026,1.1,6605,32.9,83
7865,14.3,4024,1.9,6672,32.4,0
7989,14.3,4017,2.3,6607,32.2,84
8065,14.2,4032,-0.1,6607,32.3,1
8174,14.4,4037,-0.3,6674,32.3,78
8252,14.2,4041,-0.4,6612,32.6,13
8390,14.2,4046,-1,6681,32.2,86
8467,14.6,4020,2,6618,32,3
8576,14.7,4014,3.2,6678,32.2,87
8655,15,4017,2.5,6610,31.7,5
8778,15.1,4015,2.4,6672,32.1,89
8855,15.7,4008,3.4,6671,30.5,6
8980,16,3994,4.4,6666,30.6,90
9058,16.7,3988,5,6660,30.5,7
9183,16.7,3990,4.4,6589,29.8,91
9260,18,3967,7.1,6647,29.1,8
9384,17.7,3979,5.2,6571,29.1,73
9461,18.5,3992,3.2,6632,28.4,8
9587,18.7,3991,3.1,6564,28,74
9665,19.3,3988,3.3,6626,27.1,9
9790,19.8,3970,5.1,6557,27,75
9867,20.4,3977,3.9,6616,26.2,10
9977,20.9,3957,6.1,6545,26.4,76
10055,20.9,3988,1.9,6607,26.2,11
10180,21.4,3985,2,6607,25.5,77
10255,21.4,3993,0.9,6607,25.5,13
10378,21.4,4000,0.2,6609,25.7,79
10455,20.8,4028,-3.1,6615,26.5,14
10579,20.8,4039,-4.6,6628,25.6,80
10656,20.9,4011,-0.6,6637,26,15
10779,21,3994,1.5,6638,26.5,81
10857,20.5,4016,-1.1,6638,26.2,17
10982,20.6,4017,-1.5,6644,26.6,82
11061,20.5,4023,-1.4,6648,26.3,0
11171,20.6,4006,-0.1,6587,26.6,77
11262,20.7,3997,0.9,6651,25.7,12
11388,20.8,3986,2.2,6648,25.8,85
11467,21.7,3964,4.7,6647,25,2
11576,21.5,3961,4.9,6573,25.7,86
11669,22.1,3978,2.2,6631,24.5,3
11778,22,3979,2,6625,25.2,87
11857,22.7,3962,4,6619,24.6,4
11980,22.4,3966,3.5,6615,24.1,88
12060,23.3,3954,4.4,6612,23.7,5
12185,23.3,3958,3.9,6606,24,89
12262,23.1,3999,-1.4,6603,24,7
12384,23.3,3999,-2,6609,23.5,74
12462,23.6,3973,1.7,6612,24.1,9
12586,23.1,3985,0.2,6615,24,74
12664,23.1,4001,-1.7,6553,24.8,9
12791,22.9,4005,-2,6622,24,75
12868,22.4,4014,-3,6563,24.6,10
12976,22.2,4022,-3.7,6634,25.2,76
13069,21.5,4031,-4.6,6576,25.9,12
13179,21.1,4042,-5.9,6651,25.8,77
13255,20.4,4040,-4.7,6593,27.2,13
13377,20.1,4045,-5.3,6666,26.7,79
13455,20.2,4015,-0.9,6672,26.9,14
13579,20.1,3998,0.8,6605,26.8,73
13656,20.5,3982,2.7,6668,26.8,8
13779,20.3,3983,2.3,6593,26.5,81
13856,21.1,3975,3.1,6653,25.7,17
13981,21.2,3964,4.3,6576,25.3,82
14060,22.1,3957,5.2,6632,23.9,0
14184,22.4,3941,6.3,6558,24.8,84
14261,23.2,3934,6.2,6613,24,1
14385,22.9,3951,4,6540,24.3,85
14464,22.9,3999,-2.3,6602,24,2
14590,22.7,4010,-3.6,6609,24.6,86
14668,22.1,4027,-5.3,6615,24.9,3
14777,22.1,4023,-4.4,6625,24.9,87
14870,21.5,4019,-3,6629,25.1,5
14978,21.7,4007,-1.6,6635,25.9,88
15057,20.6,4032,-4.1,6638,26.7,6
15184,20.2,4049,-6.2,6648,26.7,90
15260,19.8,4042,-4.9,6657,27.2,7
15384,19.7,4030,-3.1,6600,27.4,74
